Date,yValueName_Actual,yValueName_Actual_Predicted,,,,Ex: For Gold,Date,Gold_Open_average_Actual,Gold_Open_average_Actual_Predicted,Gold_Open_max_Actual,Gold_Open_max_Predicted
[Date],,,,,,File Name: Gold.csv,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
[Date],,,,,,,[Date],,,,
