DATE,FYGDP
1930-06-30,98.40000
1931-06-30,84.80000
1932-06-30,68.50000
1933-06-30,58.30000
1934-06-30,62.00000
1935-06-30,70.50000
1936-06-30,79.60000
1937-06-30,88.90000
1938-06-30,90.20000
1939-06-30,90.40000
1940-06-30,98.20000
1941-06-30,116.20000
1942-06-30,147.70000
1943-06-30,184.60000
1944-06-30,213.80000
1945-06-30,226.40000
1946-06-30,228.00000
1947-06-30,238.90000
1948-06-30,261.9
1949-06-30,276.5
1950-06-30,278.7
1951-06-30,327.0
1952-06-30,357.1
1953-06-30,382.0
1954-06-30,387.2
1955-06-30,406.3
1956-06-30,438.2
1957-06-30,463.4
1958-06-30,473.5
1959-06-30,504.6
1960-06-30,534.3
1961-06-30,546.6
1962-06-30,585.7
1963-06-30,618.2
1964-06-30,661.7
1965-06-30,709.3
1966-06-30,780.5
1967-06-30,836.5
1968-06-30,897.6
1969-06-30,980.3
1970-06-30,1046.7
1971-06-30,1116.6
1972-06-30,1216.2
1973-06-30,1352.7
1974-06-30,1482.8
1975-06-30,1606.9
1976-06-30,1786.1
1977-09-30,2024.3
1978-09-30,2273.4
1979-09-30,2565.6
1980-09-30,2791.9
1981-09-30,3133.2
1982-09-30,3313.4
1983-09-30,3536.0
1984-09-30,3949.2
1985-09-30,4265.1
1986-09-30,4526.2
1987-09-30,4767.6
1988-09-30,5138.6
1989-09-30,5554.7
1990-09-30,5898.8
1991-09-30,6093.2
1992-09-30,6416.2
1993-09-30,6775.3
1994-09-30,7176.8
1995-09-30,7560.4
1996-09-30,7951.3
1997-09-30,8451.0
1998-09-30,8930.8
1999-09-30,9479.4
2000-09-30,10117.4
2001-09-30,10526.5
2002-09-30,10833.6
2003-09-30,11283.8
2004-09-30,12025.4
2005-09-30,12834.2
2006-09-30,13638.4
2007-09-30,14290.8
2008-09-30,14743.3
2009-09-30,14431.8
2010-09-30,14838.8
2011-09-30,15403.7
2012-09-30,16056.4
2013-09-30,16603.8
2014-09-30,17332.9
2015-09-30,18090.3
2016-09-30,18551.0
2017-09-30,19272.2
2018-09-30,20235.9
