Date,Fidelity Dividend for Rising Rates_Open_average,Fidelity Dividend for Rising Rates_Open_max,Fidelity Dividend for Rising Rates_Open_min,Fidelity Dividend for Rising Rates_Open_volatility,Fidelity Dividend for Rising Rates_Open_change,Fidelity Dividend for Rising Rates_High_average,Fidelity Dividend for Rising Rates_High_max,Fidelity Dividend for Rising Rates_High_min,Fidelity Dividend for Rising Rates_High_volatility,Fidelity Dividend for Rising Rates_High_change,Fidelity Dividend for Rising Rates_Low_average,Fidelity Dividend for Rising Rates_Low_max,Fidelity Dividend for Rising Rates_Low_min,Fidelity Dividend for Rising Rates_Low_volatility,Fidelity Dividend for Rising Rates_Low_change,Fidelity Dividend for Rising Rates_Close_average,Fidelity Dividend for Rising Rates_Close_max,Fidelity Dividend for Rising Rates_Close_min,Fidelity Dividend for Rising Rates_Close_volatility,Fidelity Dividend for Rising Rates_Close_change
2018-01-14,32.1,32.1,32.1,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2018-01-21,32.66,32.66,32.66,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-01-28,31.02,31.02,31.02,0.0,0.0,31.3,31.3,31.3,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-02-04,30.28,30.28,30.28,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-02-11,31.27,31.27,31.27,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-02-18,31.5,31.5,31.5,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-02-25,30.61,30.61,30.61,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.55,30.55,30.55,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2018-03-04,31.63,31.63,31.63,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-03-11,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-03-18,29.62,29.62,29.62,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-03-25,29.78,29.78,29.78,0.0,0.0,29.8,29.8,29.8,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-04-01,29.74,29.74,29.74,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.69,29.69,29.69,0.0,0.0
