Date,Fidelity Core DividendEtf_Open_average,Fidelity Core DividendEtf_Open_max,Fidelity Core DividendEtf_Open_min,Fidelity Core DividendEtf_Open_volatility,Fidelity Core DividendEtf_Open_change,Fidelity Core DividendEtf_High_average,Fidelity Core DividendEtf_High_max,Fidelity Core DividendEtf_High_min,Fidelity Core DividendEtf_High_volatility,Fidelity Core DividendEtf_High_change,Fidelity Core DividendEtf_Low_average,Fidelity Core DividendEtf_Low_max,Fidelity Core DividendEtf_Low_min,Fidelity Core DividendEtf_Low_volatility,Fidelity Core DividendEtf_Low_change,Fidelity Core DividendEtf_Close_average,Fidelity Core DividendEtf_Close_max,Fidelity Core DividendEtf_Close_min,Fidelity Core DividendEtf_Close_volatility,Fidelity Core DividendEtf_Close_change
2018-01-14,29.71,29.71,29.71,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-01-21,30.21,30.21,30.21,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-01-28,29.79,29.79,29.79,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-02-04,27.99,27.99,27.99,0.0,0.0,28.15,28.15,28.15,0.0,0.0,27.25,27.25,27.25,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2018-02-11,29.43,29.43,29.43,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-02-18,29.08,29.08,29.08,0.0,0.0,29.27,29.27,29.27,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-02-25,28.46,28.46,28.46,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-03-04,29.29,29.29,29.29,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-03-11,29.13,29.13,29.13,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-03-18,28.2,28.2,28.2,0.0,0.0,28.24,28.24,28.24,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-03-25,28.07,28.07,28.07,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-04-01,28.36,28.36,28.36,0.0,0.0,28.51,28.51,28.51,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-04-08,28.69,28.69,28.69,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-04-15,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2018-04-22,28.73,28.73,28.73,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.89,28.89,28.89,0.0,0.0
