Date,HBI_Open_average,HBI_Open_max,HBI_Open_min,HBI_Open_volatility,HBI_Open_change,HBI_High_average,HBI_High_max,HBI_High_min,HBI_High_volatility,HBI_High_change,HBI_Low_average,HBI_Low_max,HBI_Low_min,HBI_Low_volatility,HBI_Low_change,HBI_Close_average,HBI_Close_max,HBI_Close_min,HBI_Close_volatility,HBI_Close_change,HBI_Volume_average,HBI_Volume_max,HBI_Volume_min,HBI_Volume_volatility,HBI_Volume_change
2018-01-14,22.368,23.03,21.99,1.0400000000000027,0.5600000000000023,22.716,23.23,22.18,1.0500000000000007,0.5600000000000023,22.116,22.7,21.86,0.8399999999999999,0.6799999999999997,22.448,23.2,21.94,1.259999999999998,0.8999999999999986,7017907,9586695,5386074,4200621,2891182
2018-01-21,22.986,23.3,22.63,0.6700000000000017,-0.370000000000001,23.144,23.33,22.88,0.4499999999999993,-0.26000000000000156,22.67,22.88,22.46,0.41999999999999815,-0.3200000000000003,22.858,23.24,22.59,0.6499999999999986,-0.39000000000000057,4829350,5338338,4154437,1183901,762529
2018-01-28,21.546,22.18,20.92,1.259999999999998,-1.259999999999998,21.774,22.3,21.4,0.9000000000000021,-0.7699999999999996,21.216,21.62,20.85,0.7699999999999996,-0.7699999999999996,21.352,21.75,20.85,0.8999999999999986,-0.8999999999999986,7402752,10024136,4949598,5074538,2790262
2018-02-04,20.334,21.74,19.5,2.2399999999999984,-0.9800000000000004,20.97,22.64,19.9,2.740000000000002,-1.7900000000000027,19.84,21.53,18.57,2.960000000000001,-1.0800000000000018,20.422,21.96,19.26,2.6999999999999993,-1.9399999999999977,17272336,34493608,9684072,24809536,2094457
2018-02-11,20.247500000000002,21.14,19.69,1.4499999999999993,0.6899999999999977,20.7325,21.21,19.96,1.25,0.6199999999999974,20.0325,20.4,19.68,0.7199999999999989,0.5899999999999999,20.57,21.14,19.93,1.2100000000000009,0.5599999999999987,8739610,16441007,4755029,11685978,-2984208
2018-02-18,20.15,20.35,19.97,0.38000000000000256,-0.21000000000000085,20.314,20.39,20.24,0.15000000000000213,-0.07000000000000028,19.828,19.98,19.7,0.28000000000000114,0.08000000000000185,20.044,20.26,19.93,0.33000000000000185,0.33000000000000185,4653936,5831696,3631793,2199903,-28991
2018-02-25,19.808,20.36,19.33,1.0300000000000011,-0.5399999999999991,20.19,20.57,19.78,0.7899999999999991,0.08999999999999986,19.454,19.79,19.15,0.6400000000000006,-0.08999999999999986,19.828,20.29,19.4,0.8900000000000006,0.33999999999999986,5866408,9544778,3462859,6081919,4897988
2018-03-04,20.116,20.44,19.73,0.7100000000000009,-0.3200000000000003,20.358,20.56,20.02,0.5399999999999991,-0.28999999999999915,19.788,20.17,19.37,0.8000000000000007,-0.20000000000000284,20.084,20.4,19.54,0.8599999999999994,-0.1700000000000017,4971724,5860361,4278553,1581808,-664596
2018-03-11,19.732,20.23,19.44,0.7899999999999991,-0.5700000000000003,19.87,20.25,19.66,0.5899999999999999,-0.5300000000000011,19.404,19.74,19.25,0.48999999999999844,-0.46999999999999886,19.532,19.77,19.38,0.39000000000000057,-0.39000000000000057,3793125,4547806,2952991,1594815,-716911
2018-03-18,18.964,19.4,18.7,0.6999999999999993,-0.6799999999999997,19.128,19.59,18.81,0.7800000000000011,-0.7800000000000011,18.626,18.98,18.27,0.7100000000000009,-0.4800000000000004,18.785999999999998,19.13,18.43,0.6999999999999993,-0.33999999999999986,5417883,9088298,4386586,4701712,-4665337
2018-03-25,18.6275,18.9,18.26,0.639999999999997,-0.48999999999999844,18.875,19.17,18.38,0.7900000000000027,-0.7900000000000027,18.310000000000002,18.61,17.94,0.6699999999999982,-0.6699999999999982,18.4425,18.79,18.18,0.6099999999999994,-0.6099999999999994,5672036,7258495,4007336,3251159,1913844
2018-04-01,18.66,19.04,18.16,0.879999999999999,0.7099999999999973,19.002,19.33,18.44,0.889999999999997,0.5199999999999996,18.456,18.99,17.99,1.0,0.4400000000000013,18.805999999999997,19.22,18.36,0.8599999999999994,0.21999999999999886,5533300,8251346,3611661,4639685,4639685
