Date,Guggenheim Invest China Small Cap_Open_average,Guggenheim Invest China Small Cap_Open_max,Guggenheim Invest China Small Cap_Open_min,Guggenheim Invest China Small Cap_Open_volatility,Guggenheim Invest China Small Cap_Open_change,Guggenheim Invest China Small Cap_High_average,Guggenheim Invest China Small Cap_High_max,Guggenheim Invest China Small Cap_High_min,Guggenheim Invest China Small Cap_High_volatility,Guggenheim Invest China Small Cap_High_change,Guggenheim Invest China Small Cap_Low_average,Guggenheim Invest China Small Cap_Low_max,Guggenheim Invest China Small Cap_Low_min,Guggenheim Invest China Small Cap_Low_volatility,Guggenheim Invest China Small Cap_Low_change,Guggenheim Invest China Small Cap_Close_average,Guggenheim Invest China Small Cap_Close_max,Guggenheim Invest China Small Cap_Close_min,Guggenheim Invest China Small Cap_Close_volatility,Guggenheim Invest China Small Cap_Close_change
2018-01-14,31.93,31.93,31.93,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2018-01-21,33.08,33.08,33.08,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-01-28,32.09,32.09,32.09,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-02-04,28.43,28.43,28.43,0.0,0.0,28.74,28.74,28.74,0.0,0.0,27.68,27.68,27.68,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-02-11,30.75,30.75,30.75,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-02-18,30.99,30.99,30.99,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.84,30.84,30.84,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-02-25,29.99,29.99,29.99,0.0,0.0,30.56,30.56,30.56,0.0,0.0,29.82,29.82,29.82,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-03-04,31.21,31.21,31.21,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-03-11,31.59,31.59,31.59,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-03-18,30.2,30.2,30.2,0.0,0.0,30.22,30.22,30.22,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.61,29.61,29.61,0.0,0.0
