Date,FlexShares Morningstar Global Upstream Natural ResEtf_Open_average,FlexShares Morningstar Global Upstream Natural ResEtf_Open_max,FlexShares Morningstar Global Upstream Natural ResEtf_Open_min,FlexShares Morningstar Global Upstream Natural ResEtf_Open_volatility,FlexShares Morningstar Global Upstream Natural ResEtf_Open_change,FlexShares Morningstar Global Upstream Natural ResEtf_High_average,FlexShares Morningstar Global Upstream Natural ResEtf_High_max,FlexShares Morningstar Global Upstream Natural ResEtf_High_min,FlexShares Morningstar Global Upstream Natural ResEtf_High_volatility,FlexShares Morningstar Global Upstream Natural ResEtf_High_change,FlexShares Morningstar Global Upstream Natural ResEtf_Low_average,FlexShares Morningstar Global Upstream Natural ResEtf_Low_max,FlexShares Morningstar Global Upstream Natural ResEtf_Low_min,FlexShares Morningstar Global Upstream Natural ResEtf_Low_volatility,FlexShares Morningstar Global Upstream Natural ResEtf_Low_change,FlexShares Morningstar Global Upstream Natural ResEtf_Close_average,FlexShares Morningstar Global Upstream Natural ResEtf_Close_max,FlexShares Morningstar Global Upstream Natural ResEtf_Close_min,FlexShares Morningstar Global Upstream Natural ResEtf_Close_volatility,FlexShares Morningstar Global Upstream Natural ResEtf_Close_change
2018-01-14,34.79,34.79,34.79,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-01-21,35.23,35.23,35.23,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-01-28,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2018-02-04,32.04,32.04,32.04,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.14,31.14,31.14,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2018-02-11,33.28,33.28,33.28,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2018-02-18,33.43,33.43,33.43,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-02-25,32.42,32.42,32.42,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-03-04,33.01,33.01,33.01,0.0,0.0,33.22,33.22,33.22,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-03-11,32.84,32.84,32.84,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-03-18,32.32,32.32,32.32,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.03,32.03,32.03,0.0,0.0
