Date,ARNC_Open_average,ARNC_Open_max,ARNC_Open_min,ARNC_Open_volatility,ARNC_Open_change,ARNC_High_average,ARNC_High_max,ARNC_High_min,ARNC_High_volatility,ARNC_High_change,ARNC_Low_average,ARNC_Low_max,ARNC_Low_min,ARNC_Low_volatility,ARNC_Low_change,ARNC_Close_average,ARNC_Close_max,ARNC_Close_min,ARNC_Close_volatility,ARNC_Close_change,ARNC_Volume_average,ARNC_Volume_max,ARNC_Volume_min,ARNC_Volume_volatility,ARNC_Volume_change
2018-01-14,30.416,30.92,30.22,0.7000000000000028,-0.7000000000000028,30.664,31.17,30.43,0.740000000000002,-0.740000000000002,30.046,30.32,29.82,0.5,-0.05000000000000071,30.39,30.54,30.22,0.3200000000000003,0.019999999999999574,3926872,4977510,3226006,1751504,-1396213
2018-01-21,30.561999999999998,30.83,30.34,0.48999999999999844,0.3999999999999986,30.734,30.91,30.43,0.4800000000000004,0.4800000000000004,30.2,30.33,30.11,0.21999999999999886,0.05000000000000071,30.47,30.84,30.26,0.5799999999999983,-0.03999999999999915,2306016,2536214,1980633,555581,200259
2018-01-28,29.386,30.02,27.4,2.620000000000001,-2.620000000000001,29.71,30.51,27.71,2.8000000000000007,-2.469999999999999,28.708,29.77,25.84,3.9299999999999997,-3.539999999999999,29.144,30.11,26.52,3.59,-3.400000000000002,5838167,10925986,2808421,8117565,6494643
2018-02-04,25.176,26.19,24.65,1.5400000000000027,-1.3800000000000026,25.426,26.4,24.9,1.5,-1.2199999999999989,24.382,25.0,23.32,1.6799999999999997,-0.46999999999999886,24.866,25.28,24.45,0.8300000000000018,-0.4400000000000013,7233534,10017497,4938440,5079057,-5079057
2018-02-11,25.02,25.74,24.55,1.1899999999999977,0.5700000000000003,25.55,25.87,24.87,1.0,1.0,24.747500000000002,25.07,24.46,0.6099999999999994,0.6099999999999994,25.21,25.48,24.78,0.6999999999999993,0.5799999999999983,4990338,5483054,4514646,968408,60387
2018-02-18,24.93,25.22,24.59,0.629999999999999,0.11999999999999744,25.262,25.47,25.0,0.46999999999999886,-0.17999999999999972,24.672,25.0,24.43,0.5700000000000003,0.25,24.864,25.13,24.54,0.5899999999999999,0.2699999999999996,2947557,3678909,2522601,1156308,-809074
2018-02-25,24.392,25.14,23.7,1.4400000000000013,-1.4400000000000013,24.71,25.34,24.1,1.2399999999999984,-0.9100000000000001,23.992,24.71,23.4,1.3100000000000023,-1.0800000000000018,24.278,24.74,23.91,0.8299999999999983,-0.41000000000000014,3610947,5266873,2755300,2511573,1012670
2018-03-04,24.728,25.22,24.28,0.9399999999999977,0.7699999999999996,24.956,25.24,24.73,0.509999999999998,0.48999999999999844,24.49,24.77,24.22,0.5500000000000007,0.33999999999999986,24.818,25.19,24.55,0.6400000000000006,0.379999999999999,2637506,3446351,1969543,1476808,-284247
2018-03-11,24.598,25.05,24.13,0.9200000000000017,-0.5800000000000018,24.774,25.22,24.32,0.8999999999999986,-0.6699999999999982,24.098,24.84,23.8,1.0399999999999991,-1.0399999999999991,24.368,24.95,24.03,0.9199999999999982,-0.9199999999999982,4262323,5330581,3431884,1898697,104093
2018-03-18,23.618000000000002,24.09,22.91,1.1799999999999997,-0.9699999999999989,23.88,24.55,23.23,1.3200000000000003,-0.8599999999999994,23.162,23.95,22.57,1.379999999999999,-1.0100000000000016,23.412,24.16,22.68,1.4800000000000004,-0.7100000000000009,3753378,4765984,2110891,2655093,-1713468
