Date,ProShares UltraShort 20+ Year Treasury_Open_average,ProShares UltraShort 20+ Year Treasury_Open_max,ProShares UltraShort 20+ Year Treasury_Open_min,ProShares UltraShort 20+ Year Treasury_Open_volatility,ProShares UltraShort 20+ Year Treasury_Open_change,ProShares UltraShort 20+ Year Treasury_High_average,ProShares UltraShort 20+ Year Treasury_High_max,ProShares UltraShort 20+ Year Treasury_High_min,ProShares UltraShort 20+ Year Treasury_High_volatility,ProShares UltraShort 20+ Year Treasury_High_change,ProShares UltraShort 20+ Year Treasury_Low_average,ProShares UltraShort 20+ Year Treasury_Low_max,ProShares UltraShort 20+ Year Treasury_Low_min,ProShares UltraShort 20+ Year Treasury_Low_volatility,ProShares UltraShort 20+ Year Treasury_Low_change,ProShares UltraShort 20+ Year Treasury_Close_average,ProShares UltraShort 20+ Year Treasury_Close_max,ProShares UltraShort 20+ Year Treasury_Close_min,ProShares UltraShort 20+ Year Treasury_Close_volatility,ProShares UltraShort 20+ Year Treasury_Close_change
2018-01-14,35.67,35.67,35.67,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2018-01-21,36.01,36.01,36.01,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-01-28,38.14,38.14,38.14,0.0,0.0,38.46,38.46,38.46,0.0,0.0,36.41,36.41,36.41,0.0,0.0,37.07,37.07,37.07,0.0,0.0
2018-02-04,38.48,38.48,38.48,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.03,38.03,38.03,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2018-02-11,38.19,38.19,38.19,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-02-18,38.4,38.4,38.4,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-02-25,38.24,38.24,38.24,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-03-04,38.52,38.52,38.52,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-03-11,37.93,37.93,37.93,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-03-18,37.42,37.42,37.42,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.59,37.59,37.59,0.0,0.0
