Date,iShares Morningstar Multi-Asset Income_Open_average,iShares Morningstar Multi-Asset Income_Open_max,iShares Morningstar Multi-Asset Income_Open_min,iShares Morningstar Multi-Asset Income_Open_volatility,iShares Morningstar Multi-Asset Income_Open_change,iShares Morningstar Multi-Asset Income_High_average,iShares Morningstar Multi-Asset Income_High_max,iShares Morningstar Multi-Asset Income_High_min,iShares Morningstar Multi-Asset Income_High_volatility,iShares Morningstar Multi-Asset Income_High_change,iShares Morningstar Multi-Asset Income_Low_average,iShares Morningstar Multi-Asset Income_Low_max,iShares Morningstar Multi-Asset Income_Low_min,iShares Morningstar Multi-Asset Income_Low_volatility,iShares Morningstar Multi-Asset Income_Low_change,iShares Morningstar Multi-Asset Income_Close_average,iShares Morningstar Multi-Asset Income_Close_max,iShares Morningstar Multi-Asset Income_Close_min,iShares Morningstar Multi-Asset Income_Close_volatility,iShares Morningstar Multi-Asset Income_Close_change
2018-01-14,25.83,25.83,25.83,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-01-21,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-01-28,25.02,25.02,25.02,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2018-02-04,24.73,24.73,24.73,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2018-02-11,24.97,24.97,24.97,0.0,0.0,25.15,25.15,25.15,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-02-18,25.14,25.14,25.14,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-02-25,24.72,24.72,24.72,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-03-04,24.9,24.9,24.9,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2018-03-11,24.89,24.89,24.89,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2018-03-18,24.7,24.7,24.7,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2018-03-25,24.88,24.88,24.88,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2018-04-01,24.85,24.85,24.85,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2018-04-08,24.94,24.94,24.94,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.96,24.96,24.96,0.0,0.0
