Date,Principal US Mega-Cap Multi-FactorEtf_Open_average,Principal US Mega-Cap Multi-FactorEtf_Open_max,Principal US Mega-Cap Multi-FactorEtf_Open_min,Principal US Mega-Cap Multi-FactorEtf_Open_volatility,Principal US Mega-Cap Multi-FactorEtf_Open_change,Principal US Mega-Cap Multi-FactorEtf_High_average,Principal US Mega-Cap Multi-FactorEtf_High_max,Principal US Mega-Cap Multi-FactorEtf_High_min,Principal US Mega-Cap Multi-FactorEtf_High_volatility,Principal US Mega-Cap Multi-FactorEtf_High_change,Principal US Mega-Cap Multi-FactorEtf_Low_average,Principal US Mega-Cap Multi-FactorEtf_Low_max,Principal US Mega-Cap Multi-FactorEtf_Low_min,Principal US Mega-Cap Multi-FactorEtf_Low_volatility,Principal US Mega-Cap Multi-FactorEtf_Low_change,Principal US Mega-Cap Multi-FactorEtf_Close_average,Principal US Mega-Cap Multi-FactorEtf_Close_max,Principal US Mega-Cap Multi-FactorEtf_Close_min,Principal US Mega-Cap Multi-FactorEtf_Close_volatility,Principal US Mega-Cap Multi-FactorEtf_Close_change
2018-01-14,27.41,27.41,27.41,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-01-21,27.95,27.95,27.95,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-01-28,27.41,27.41,27.41,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-02-04,25.26,25.26,25.26,0.0,0.0,25.63,25.63,25.63,0.0,0.0,24.79,24.79,24.79,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-02-11,26.56,26.56,26.56,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2018-02-18,26.4,26.4,26.4,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-02-25,25.81,25.81,25.81,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-03-04,26.64,26.64,26.64,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-03-11,26.67,26.67,26.67,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-03-18,25.45,25.45,25.45,0.0,0.0,25.56,25.56,25.56,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.93,24.93,24.93,0.0,0.0
