Date,ValueShares US Quantitative Value_etf_Open_average,ValueShares US Quantitative Value_etf_Open_max,ValueShares US Quantitative Value_etf_Open_min,ValueShares US Quantitative Value_etf_Open_volatility,ValueShares US Quantitative Value_etf_Open_change,ValueShares US Quantitative Value_etf_High_average,ValueShares US Quantitative Value_etf_High_max,ValueShares US Quantitative Value_etf_High_min,ValueShares US Quantitative Value_etf_High_volatility,ValueShares US Quantitative Value_etf_High_change,ValueShares US Quantitative Value_etf_Low_average,ValueShares US Quantitative Value_etf_Low_max,ValueShares US Quantitative Value_etf_Low_min,ValueShares US Quantitative Value_etf_Low_volatility,ValueShares US Quantitative Value_etf_Low_change,ValueShares US Quantitative Value_etf_Close_average,ValueShares US Quantitative Value_etf_Close_max,ValueShares US Quantitative Value_etf_Close_min,ValueShares US Quantitative Value_etf_Close_volatility,ValueShares US Quantitative Value_etf_Close_change
2018-01-14,32.74,32.74,32.74,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-01-21,32.98,32.98,32.98,0.0,0.0,33.41,33.41,33.41,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-01-28,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2018-02-04,30.49,30.49,30.49,0.0,0.0,30.67,30.67,30.67,0.0,0.0,29.36,29.36,29.36,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-02-11,31.76,31.76,31.76,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-02-18,31.46,31.46,31.46,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-02-25,30.75,30.75,30.75,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.75,30.75,30.75,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-03-04,31.48,31.48,31.48,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-03-11,31.27,31.27,31.27,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-03-18,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-03-25,29.89,29.89,29.89,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.89,29.89,29.89,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-04-01,30.37,30.37,30.37,0.0,0.0,30.47,30.47,30.47,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-04-08,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-04-15,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-04-22,30.24,30.24,30.24,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-04-29,29.2,29.2,29.2,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2018-05-06,30.04,30.04,30.04,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-05-13,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-05-20,30.67,30.67,30.67,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2018-05-27,30.77,30.77,30.77,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-06-03,32.13,32.13,32.13,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-06-10,32.11,32.11,32.11,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2018-06-17,31.99,31.99,31.99,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-06-24,31.33,31.33,31.33,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-07-01,31.43,31.43,31.43,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-07-08,31.94,31.94,31.94,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-07-15,31.84,31.84,31.84,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-07-22,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-07-29,31.68,31.68,31.68,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-08-05,31.67,31.67,31.67,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-08-12,31.58,31.58,31.58,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-08-19,32.14,32.14,32.14,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-08-26,32.21,32.21,32.21,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-09-02,31.76,31.76,31.76,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-09-09,31.41,31.41,31.41,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-09-16,31.73,31.73,31.73,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-09-23,30.91,30.91,30.91,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-09-30,30.42,30.42,30.42,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-10-07,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2018-10-14,29.02,29.02,29.02,0.0,0.0,29.24,29.24,29.24,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2018-10-21,27.4,27.4,27.4,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-10-28,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-11-04,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-11-11,28.61,28.61,28.61,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-11-18,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-11-25,28.76,28.76,28.76,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-12-02,28.03,28.03,28.03,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-12-09,26.22,26.22,26.22,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-12-16,24.79,24.79,24.79,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-12-23,25.16,25.16,25.16,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2018-12-30,25.33,25.33,25.33,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2019-01-06,26.81,26.81,26.81,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2019-01-13,27.22,27.22,27.22,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2019-01-20,28.15,28.15,28.15,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2019-01-27,28.65,28.65,28.65,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2019-02-03,28.36,28.36,28.36,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2019-02-10,29.49,29.49,29.49,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-02-17,29.5,29.5,29.5,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-02-24,29.64,29.64,29.64,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2019-03-03,28.21,28.21,28.21,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2019-03-10,28.7,28.7,28.7,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2019-03-17,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2019-03-24,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2019-03-31,30.02,30.02,30.02,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2019-04-07,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2019-04-14,30.31,30.31,30.31,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2019-04-21,29.79,29.79,29.79,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.73,29.73,29.73,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2019-04-28,29.74,29.74,29.74,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-05-05,28.68,28.68,28.68,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2019-05-12,27.99,27.99,27.99,0.0,0.0,28.37,28.37,28.37,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2019-05-19,27.06,27.06,27.06,0.0,0.0,27.06,27.06,27.06,0.0,0.0,26.94,26.94,26.94,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2019-05-26,25.89,25.89,25.89,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-06-02,26.91,26.91,26.91,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2019-06-09,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2019-06-16,27.77,27.77,27.77,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2019-06-23,27.96,27.96,27.96,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2019-06-30,28.11,28.11,28.11,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2019-07-07,28.17,28.17,28.17,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2019-07-14,28.48,28.48,28.48,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2019-07-21,28.92,28.92,28.92,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2019-07-28,27.67,27.67,27.67,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2019-08-04,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2019-08-11,25.74,25.74,25.74,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2019-08-18,26.19,26.19,26.19,0.0,0.0,26.36,26.36,26.36,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2019-08-25,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.29,26.29,26.29,0.0,0.0
2019-09-01,27.22,27.22,27.22,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0
2019-09-08,28.68,28.68,28.68,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2019-09-15,28.13,28.13,28.13,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2019-09-22,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2019-09-29,26.96,26.96,26.96,0.0,0.0,27.17,27.17,27.17,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2019-10-06,27.6,27.6,27.6,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2019-10-13,27.99,27.99,27.99,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2019-10-20,29.45,29.45,29.45,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0
2019-10-27,29.75,29.75,29.75,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2019-11-03,30.37,30.37,30.37,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2019-11-10,30.29,30.29,30.29,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2019-11-17,29.86,29.86,29.86,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2019-11-24,30.37,30.37,30.37,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.26,30.26,30.26,0.0,0.0
