Date,MNTX_stock_Open_average,MNTX_stock_Open_max,MNTX_stock_Open_min,MNTX_stock_Open_volatility,MNTX_stock_Open_change,MNTX_stock_High_average,MNTX_stock_High_max,MNTX_stock_High_min,MNTX_stock_High_volatility,MNTX_stock_High_change,MNTX_stock_Low_average,MNTX_stock_Low_max,MNTX_stock_Low_min,MNTX_stock_Low_volatility,MNTX_stock_Low_change,MNTX_stock_Close_average,MNTX_stock_Close_max,MNTX_stock_Close_min,MNTX_stock_Close_volatility,MNTX_stock_Close_change,MNTX_stock_Volume_average,MNTX_stock_Volume_max,MNTX_stock_Volume_min,MNTX_stock_Volume_volatility,MNTX_stock_Volume_change
2018-01-14,9.69,9.95,9.5,0.4499999999999993,-0.2699999999999996,9.8925,10.05,9.78,0.27000000000000135,-0.27000000000000135,9.09,9.41,8.76,0.6500000000000004,-0.6099999999999994,9.6075,9.65,9.52,0.13000000000000078,0.13000000000000078,65712,125734,28796,96938,-13499
2018-01-21,10.106,10.5,9.56,0.9399999999999995,0.7999999999999989,10.378,10.52,9.87,0.6500000000000004,0.6300000000000008,9.892000000000001,10.21,9.23,0.9800000000000004,0.9800000000000004,10.225999999999999,10.5,9.63,0.8699999999999992,0.8699999999999992,66786,137121,29577,107544,-36563
2018-01-28,10.41,10.65,10.25,0.40000000000000036,-0.16999999999999993,10.736,11.23,10.41,0.8200000000000003,-0.5500000000000007,10.128,10.45,9.91,0.5399999999999991,-0.5399999999999991,10.34,10.72,10.06,0.6600000000000001,-0.6600000000000001,68692,113687,33225,80462,24595
2018-02-04,10.694,11.9,9.71,2.1899999999999995,1.4799999999999986,11.299999999999999,11.91,10.53,1.3800000000000008,1.1999999999999993,10.146,11.09,9.15,1.9399999999999995,1.9399999999999995,10.94,11.68,9.96,1.7199999999999989,1.3899999999999988,137360,216713,99637,117076,4442
2018-02-11,11.29,11.4,11.18,0.22000000000000064,-0.22000000000000064,11.38,11.52,11.3,0.21999999999999886,-0.21999999999999886,10.998000000000001,11.32,10.81,0.5099999999999998,-0.4399999999999995,11.258,11.42,11.2,0.22000000000000064,-0.16999999999999993,82215,120291,53320,66971,-18836
2018-02-18,11.084999999999999,11.19,10.93,0.2599999999999998,-0.2599999999999998,11.2025,11.3,11.01,0.2900000000000009,-0.2900000000000009,10.7575,10.95,10.36,0.5899999999999999,-0.5200000000000014,10.8875,11.15,10.47,0.6799999999999997,-0.5499999999999989,72100,81354,63255,18099,10140
2018-02-25,10.506,10.74,10.13,0.6099999999999994,-0.35999999999999943,10.768,11.06,10.48,0.5800000000000001,-0.28999999999999915,10.296,10.69,10.06,0.629999999999999,-0.07000000000000028,10.482000000000001,10.73,10.24,0.4900000000000002,-0.34999999999999964,35467,70800,22167,48633,-48633
2018-03-04,10.882,11.5,10.17,1.33,1.33,11.384,12.04,10.77,1.2699999999999996,1.2699999999999996,10.78,11.49,10.17,1.3200000000000003,1.3200000000000003,11.218,11.77,10.65,1.1199999999999992,1.1199999999999992,90704,151082,34112,116970,41971
2018-03-11,11.154,11.8,10.61,1.1900000000000013,-1.1900000000000013,11.24,11.8,10.88,0.9199999999999999,-0.9199999999999999,10.69,11.26,10.18,1.08,-0.8100000000000005,10.886000000000001,11.27,10.64,0.629999999999999,-0.629999999999999,55391,126049,25187,100862,32400
2018-03-18,10.692,10.85,10.57,0.27999999999999936,0.09999999999999964,11.14,11.62,10.6,1.0199999999999996,1.0199999999999996,10.536,10.63,10.31,0.3200000000000003,0.3200000000000003,10.878,11.55,10.53,1.0200000000000014,1.0200000000000014,68092,154087,19844,134243,123294
