Date,SPDR DoubleLine EM Fixed IncomeEtf_Open_average,SPDR DoubleLine EM Fixed IncomeEtf_Open_max,SPDR DoubleLine EM Fixed IncomeEtf_Open_min,SPDR DoubleLine EM Fixed IncomeEtf_Open_volatility,SPDR DoubleLine EM Fixed IncomeEtf_Open_change,SPDR DoubleLine EM Fixed IncomeEtf_High_average,SPDR DoubleLine EM Fixed IncomeEtf_High_max,SPDR DoubleLine EM Fixed IncomeEtf_High_min,SPDR DoubleLine EM Fixed IncomeEtf_High_volatility,SPDR DoubleLine EM Fixed IncomeEtf_High_change,SPDR DoubleLine EM Fixed IncomeEtf_Low_average,SPDR DoubleLine EM Fixed IncomeEtf_Low_max,SPDR DoubleLine EM Fixed IncomeEtf_Low_min,SPDR DoubleLine EM Fixed IncomeEtf_Low_volatility,SPDR DoubleLine EM Fixed IncomeEtf_Low_change,SPDR DoubleLine EM Fixed IncomeEtf_Close_average,SPDR DoubleLine EM Fixed IncomeEtf_Close_max,SPDR DoubleLine EM Fixed IncomeEtf_Close_min,SPDR DoubleLine EM Fixed IncomeEtf_Close_volatility,SPDR DoubleLine EM Fixed IncomeEtf_Close_change
2018-01-14,50.15,50.15,50.15,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-01-21,50.2,50.2,50.2,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-01-28,49.7,49.7,49.7,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-02-04,49.65,49.65,49.65,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-02-11,49.51,49.51,49.51,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-02-18,49.38,49.38,49.38,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-02-25,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2018-03-04,49.26,49.26,49.26,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2018-03-11,49.24,49.24,49.24,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-03-18,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-03-25,49.39,49.39,49.39,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2018-04-01,49.29,49.29,49.29,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-04-08,49.21,49.21,49.21,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-04-15,49.16,49.16,49.16,0.0,0.0,49.16,49.16,49.16,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-04-22,48.93,48.93,48.93,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-04-29,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-05-06,48.82,48.82,48.82,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-05-13,48.6,48.6,48.6,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-05-20,48.68,48.68,48.68,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-05-27,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2018-06-03,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-06-10,48.19,48.19,48.19,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-06-17,48.41,48.41,48.41,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2018-06-24,48.44,48.44,48.44,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2018-07-01,48.46,48.46,48.46,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-07-08,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2018-07-15,48.78,48.78,48.78,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-07-22,48.92,48.92,48.92,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-07-29,48.78,48.78,48.78,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-08-05,48.5,48.5,48.5,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-08-12,48.44,48.44,48.44,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2018-08-19,48.48,48.48,48.48,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2018-08-26,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-09-02,48.12,48.12,48.12,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-09-09,48.22,48.22,48.22,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-09-16,48.3,48.3,48.3,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-09-23,48.61,48.61,48.61,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.64,48.64,48.64,0.0,0.0
