Date,POL_stock_Open_average,POL_stock_Open_max,POL_stock_Open_min,POL_stock_Open_volatility,POL_stock_Open_change,POL_stock_High_average,POL_stock_High_max,POL_stock_High_min,POL_stock_High_volatility,POL_stock_High_change,POL_stock_Low_average,POL_stock_Low_max,POL_stock_Low_min,POL_stock_Low_volatility,POL_stock_Low_change,POL_stock_Close_average,POL_stock_Close_max,POL_stock_Close_min,POL_stock_Close_volatility,POL_stock_Close_change,POL_stock_Volume_average,POL_stock_Volume_max,POL_stock_Volume_min,POL_stock_Volume_volatility,POL_stock_Volume_change
2018-01-14,44.32,45.21,43.62,1.5900000000000034,-1.5900000000000034,44.855,45.4,44.56,0.8399999999999963,-0.6000000000000014,43.7275,43.99,43.62,0.37000000000000455,0.0,44.207499999999996,44.77,43.73,1.0400000000000063,0.8600000000000065,502263,675961,322957,353004,-267475
2018-01-21,45.106,46.0,44.67,1.3299999999999983,1.259999999999998,45.788,47.48,45.24,2.239999999999995,2.239999999999995,44.198,44.77,43.04,1.730000000000004,-1.5399999999999991,44.85,45.52,43.7,1.8200000000000003,-1.3099999999999952,503943,1049120,195621,853499,778258
2018-01-28,43.396,43.77,42.97,0.8000000000000043,-0.6600000000000037,43.88,44.58,43.47,1.1099999999999994,-1.1099999999999994,42.986,43.29,42.78,0.509999999999998,-0.5,43.332,43.53,42.88,0.6499999999999986,-0.4199999999999946,488539,630144,345848,284296,-149532
2018-02-04,41.376,42.62,40.22,2.3999999999999986,-1.7899999999999991,42.05,43.09,41.24,1.8500000000000014,-1.8500000000000014,40.394,41.23,39.68,1.5499999999999972,-1.2700000000000031,41.032,41.71,40.32,1.3900000000000006,-0.6299999999999955,538541,799809,303164,496645,-122754
2018-02-11,41.268,42.35,40.58,1.7700000000000031,1.4600000000000009,41.846,42.69,41.07,1.6199999999999974,1.240000000000002,40.858,41.87,39.8,2.0700000000000003,2.0700000000000003,41.596000000000004,42.14,40.79,1.3500000000000014,1.2700000000000031,473688,562475,410560,151915,-151915
2018-02-18,42.08,42.27,41.89,0.38000000000000256,0.3100000000000023,42.425,42.49,42.37,0.12000000000000455,0.0800000000000054,41.754999999999995,41.97,41.64,0.3299999999999983,0.3299999999999983,41.955,42.24,41.67,0.5700000000000003,0.20000000000000284,337004,395971,256846,139125,-30112
2018-02-25,41.988,42.61,40.93,1.6799999999999997,-1.5700000000000003,42.306,42.88,41.61,1.2700000000000031,-0.7100000000000009,41.34,42.15,40.55,1.6000000000000014,-1.3300000000000054,41.87,42.56,41.18,1.3800000000000026,-0.8100000000000023,307356,364292,263078,101214,23997
2018-03-04,42.942,43.94,41.43,2.509999999999998,2.219999999999999,43.91,44.78,42.86,1.9200000000000017,1.9200000000000017,42.684,43.65,41.33,2.3200000000000003,2.3200000000000003,43.588,44.75,42.56,2.1899999999999977,2.1899999999999977,290268,361975,215577,146398,-127635
2018-03-11,44.16,44.92,42.8,2.1200000000000045,-2.1200000000000045,44.402,45.17,43.52,1.6499999999999986,-1.6499999999999986,43.416,44.31,42.53,1.7800000000000011,-1.7800000000000011,43.717999999999996,44.55,42.84,1.7099999999999937,-1.3200000000000003,486917,647973,270632,377341,346212
2018-03-18,42.902,43.01,42.6,0.4099999999999966,-0.3999999999999986,43.524,44.02,43.06,0.9600000000000009,0.07000000000000028,42.4,42.92,41.49,1.4299999999999997,-0.8299999999999983,42.664,43.41,41.49,1.9199999999999946,-1.4600000000000009,301590,432412,213890,218522,121893
