Date,ProShares UltraShort Utilities_Open_average,ProShares UltraShort Utilities_Open_max,ProShares UltraShort Utilities_Open_min,ProShares UltraShort Utilities_Open_volatility,ProShares UltraShort Utilities_Open_change,ProShares UltraShort Utilities_High_average,ProShares UltraShort Utilities_High_max,ProShares UltraShort Utilities_High_min,ProShares UltraShort Utilities_High_volatility,ProShares UltraShort Utilities_High_change,ProShares UltraShort Utilities_Low_average,ProShares UltraShort Utilities_Low_max,ProShares UltraShort Utilities_Low_min,ProShares UltraShort Utilities_Low_volatility,ProShares UltraShort Utilities_Low_change,ProShares UltraShort Utilities_Close_average,ProShares UltraShort Utilities_Close_max,ProShares UltraShort Utilities_Close_min,ProShares UltraShort Utilities_Close_volatility,ProShares UltraShort Utilities_Close_change
2018-01-14,27.67,27.67,27.67,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-01-21,27.5,27.5,27.5,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-01-28,28.7,28.7,28.7,0.0,0.0,29.26,29.26,29.26,0.0,0.0,27.87,27.87,27.87,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-02-04,29.14,29.14,29.14,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-02-11,28.1,28.1,28.1,0.0,0.0,28.51,28.51,28.51,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-02-18,27.12,27.12,27.12,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-02-25,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2018-03-04,28.38,28.38,28.38,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-03-11,26.97,26.97,26.97,0.0,0.0,27.54,27.54,27.54,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-03-18,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-03-25,26.58,26.58,26.58,0.0,0.0,27.56,27.56,27.56,0.0,0.0,26.46,26.46,26.46,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-04-01,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2018-04-08,27.23,27.23,27.23,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-04-15,26.64,26.64,26.64,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2018-04-22,25.37,25.37,25.37,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-04-29,25.64,25.64,25.64,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-05-06,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0
