Date,Guggenheim SP High Income Infrastr_Open_average,Guggenheim SP High Income Infrastr_Open_max,Guggenheim SP High Income Infrastr_Open_min,Guggenheim SP High Income Infrastr_Open_volatility,Guggenheim SP High Income Infrastr_Open_change,Guggenheim SP High Income Infrastr_High_average,Guggenheim SP High Income Infrastr_High_max,Guggenheim SP High Income Infrastr_High_min,Guggenheim SP High Income Infrastr_High_volatility,Guggenheim SP High Income Infrastr_High_change,Guggenheim SP High Income Infrastr_Low_average,Guggenheim SP High Income Infrastr_Low_max,Guggenheim SP High Income Infrastr_Low_min,Guggenheim SP High Income Infrastr_Low_volatility,Guggenheim SP High Income Infrastr_Low_change,Guggenheim SP High Income Infrastr_Close_average,Guggenheim SP High Income Infrastr_Close_max,Guggenheim SP High Income Infrastr_Close_min,Guggenheim SP High Income Infrastr_Close_volatility,Guggenheim SP High Income Infrastr_Close_change
2018-01-14,27.98,27.98,27.98,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-01-21,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-01-28,26.64,26.64,26.64,0.0,0.0,26.95,26.95,26.95,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-02-04,25.72,25.72,25.72,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.69,25.69,25.69,0.0,0.0,26.17,26.17,26.17,0.0,0.0
2018-02-11,26.4,26.4,26.4,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-02-18,26.15,26.15,26.15,0.0,0.0,26.23,26.23,26.23,0.0,0.0,25.96,25.96,25.96,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-02-25,25.01,25.01,25.01,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-03-04,25.75,25.75,25.75,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-03-11,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-03-18,25.1,25.1,25.1,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.22,25.22,25.22,0.0,0.0
