Date,Principal Active Global Dividend Income_Open_average,Principal Active Global Dividend Income_Open_max,Principal Active Global Dividend Income_Open_min,Principal Active Global Dividend Income_Open_volatility,Principal Active Global Dividend Income_Open_change,Principal Active Global Dividend Income_High_average,Principal Active Global Dividend Income_High_max,Principal Active Global Dividend Income_High_min,Principal Active Global Dividend Income_High_volatility,Principal Active Global Dividend Income_High_change,Principal Active Global Dividend Income_Low_average,Principal Active Global Dividend Income_Low_max,Principal Active Global Dividend Income_Low_min,Principal Active Global Dividend Income_Low_volatility,Principal Active Global Dividend Income_Low_change,Principal Active Global Dividend Income_Close_average,Principal Active Global Dividend Income_Close_max,Principal Active Global Dividend Income_Close_min,Principal Active Global Dividend Income_Close_volatility,Principal Active Global Dividend Income_Close_change
2018-01-14,29.24,29.24,29.24,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-01-21,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-01-28,28.34,28.34,28.34,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-02-04,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-02-11,28.23,28.23,28.23,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2018-02-18,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2018-02-25,27.52,27.52,27.52,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.52,27.52,27.52,0.0,0.0
2018-03-04,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-03-11,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-03-18,27.51,27.51,27.51,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-03-25,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-04-01,27.78,27.78,27.78,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-04-08,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-04-15,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2018-04-22,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2018-04-29,27.84,27.84,27.84,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.84,27.84,27.84,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-05-06,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-05-13,28.49,28.49,28.49,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-05-20,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-05-27,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-06-03,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-06-10,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-06-17,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-06-24,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-07-01,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-07-08,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-07-15,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2018-07-22,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-07-29,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-08-05,27.81,27.81,27.81,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.74,27.74,27.74,0.0,0.0
2018-08-12,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2018-08-19,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-08-26,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-09-02,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0
2018-09-09,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-09-16,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.62,28.62,28.62,0.0,0.0
