Date,ALGGY_Open_average,ALGGY_Open_max,ALGGY_Open_min,ALGGY_Open_volatility,ALGGY_Open_change,ALGGY_High_average,ALGGY_High_max,ALGGY_High_min,ALGGY_High_volatility,ALGGY_High_change,ALGGY_Low_average,ALGGY_Low_max,ALGGY_Low_min,ALGGY_Low_volatility,ALGGY_Low_change,ALGGY_Close_average,ALGGY_Close_max,ALGGY_Close_min,ALGGY_Close_volatility,ALGGY_Close_change,ALGGY_Volume_average,ALGGY_Volume_max,ALGGY_Volume_min,ALGGY_Volume_volatility,ALGGY_Volume_change
2016-01-03,16.645,17.25,15.51,1.7400000000000002,-1.5099999999999998,16.851666666666667,17.52,15.77,1.75,-1.75,16.35333333333333,17.02,15.25,1.7699999999999996,-1.7699999999999996,16.691666666666666,17.25,15.6,1.6500000000000004,-1.5999999999999996,12731,35874,1970,33904,-14182
2016-01-10,15.555,15.8,15.35,0.45000000000000107,-0.45000000000000107,15.8575,16.01,15.65,0.3600000000000012,-0.3600000000000012,15.2725,15.66,14.66,1.0,-0.6999999999999993,15.66,16.01,15.19,0.8200000000000021,-0.8200000000000021,9171,15485,1772,13713,4812
2016-01-17,14.302,14.71,13.69,1.0200000000000014,-0.22000000000000064,14.462,14.99,13.8,1.1899999999999995,0.20000000000000107,13.964,14.66,13.63,1.0299999999999994,-0.6500000000000004,14.193999999999999,14.79,13.7,1.0899999999999999,-0.7799999999999994,12054,25969,4186,21783,-11033
2016-01-24,15.052,15.47,14.64,0.8300000000000001,0.7599999999999998,15.322000000000001,15.81,14.65,1.1600000000000001,1.1399999999999988,14.58,15.13,13.89,1.2400000000000002,1.1399999999999988,14.95,15.78,14.27,1.5099999999999998,1.5099999999999998,3950,7434,1831,5603,1290
2016-01-31,15.26,15.65,14.98,0.6699999999999999,-0.09999999999999964,15.546,15.79,15.4,0.3899999999999988,-0.1999999999999993,15.072,15.65,14.69,0.9600000000000009,-0.5099999999999998,15.518,15.79,15.39,0.3999999999999986,-0.08000000000000007,14261,60916,1201,59715,2020
2016-02-07,14.99,15.06,14.93,0.13000000000000078,-0.08999999999999986,15.25,15.8,14.97,0.8300000000000001,-0.8300000000000001,14.870000000000001,15.0,14.65,0.34999999999999964,0.25,15.07,15.25,14.95,0.3000000000000007,-0.3000000000000007,2723,4141,1457,2684,-1977
2016-02-14,15.294,15.78,15.0,0.7799999999999994,0.16999999999999993,15.549999999999999,15.79,15.1,0.6899999999999995,0.33999999999999986,15.044,15.47,14.9,0.5700000000000003,0.0,15.184000000000001,15.47,14.9,0.5700000000000003,0.20000000000000107,2106,4857,949,3908,-282
2016-02-21,15.318,15.59,14.9,0.6899999999999995,0.2400000000000002,15.632,15.78,15.29,0.4900000000000002,0.370000000000001,14.826,14.98,14.62,0.3600000000000012,-0.28000000000000114,15.23,15.74,14.73,1.0099999999999998,-0.14999999999999858,3501,6901,1821,5080,103
2016-02-28,16.142,16.61,15.16,1.4499999999999993,1.4499999999999993,16.268,16.78,15.42,1.3600000000000012,1.3600000000000012,15.594,16.08,15.03,1.049999999999999,0.9199999999999982,15.946,16.61,15.03,1.58,0.6599999999999984,2161,3574,1194,2380,1022
2016-03-06,16.946,17.55,16.05,1.5,1.5,17.174,17.6,16.62,0.9800000000000004,0.9299999999999997,16.502,17.15,15.86,1.2899999999999991,1.2899999999999991,16.71,17.6,16.11,1.490000000000002,0.9100000000000001,3177,6683,1531,5152,-1371
2016-03-13,17.056,17.39,16.39,1.0,0.8000000000000007,17.612000000000002,17.94,17.34,0.6000000000000014,0.4200000000000017,16.784,17.19,16.39,0.8000000000000007,0.8000000000000007,17.454,17.94,16.8,1.1400000000000006,0.4200000000000017,1799,2553,1125,1428,1074
2016-03-20,17.9025,18.34,17.65,0.6900000000000013,0.5599999999999987,18.502499999999998,18.75,17.78,0.9699999999999989,0.9699999999999989,17.62,18.34,16.73,1.6099999999999994,1.6099999999999994,18.445,18.75,17.55,1.1999999999999993,1.1999999999999993,3042,6971,840,6131,-2099
2016-03-27,18.502,18.75,18.16,0.5899999999999999,-0.1700000000000017,18.606,18.75,18.36,0.39000000000000057,-0.1700000000000017,18.048000000000002,18.55,17.19,1.3599999999999994,-0.9199999999999982,18.152,18.75,17.19,1.5599999999999987,-0.9199999999999982,1986,3492,927,2565,-316
2016-04-03,18.156,18.86,17.25,1.6099999999999994,1.6099999999999994,18.472,18.95,18.2,0.75,0.5999999999999979,17.560000000000002,18.01,17.25,0.7600000000000016,0.14000000000000057,17.794,18.35,17.39,0.9600000000000009,-0.9600000000000009,1795,2529,1329,1200,540
2016-04-10,17.802500000000002,18.2,17.52,0.6799999999999997,-0.41999999999999815,18.3175,18.5,18.02,0.4800000000000004,-0.4800000000000004,17.375,17.52,17.05,0.46999999999999886,-0.4399999999999977,17.87,18.5,17.44,1.0599999999999987,-0.4800000000000004,3235,6497,1888,4609,4417
2016-04-17,17.558,18.3,16.46,1.8399999999999999,-0.5399999999999991,17.986,18.3,17.43,0.870000000000001,-0.5700000000000003,17.252,17.85,16.34,1.5100000000000016,-0.6600000000000001,17.658,18.17,16.34,1.8300000000000018,-1.4100000000000001,5068,18626,1168,17458,-499
