Date,CLRO_Open_average,CLRO_Open_max,CLRO_Open_min,CLRO_Open_volatility,CLRO_Open_change,CLRO_High_average,CLRO_High_max,CLRO_High_min,CLRO_High_volatility,CLRO_High_change,CLRO_Low_average,CLRO_Low_max,CLRO_Low_min,CLRO_Low_volatility,CLRO_Low_change,CLRO_Close_average,CLRO_Close_max,CLRO_Close_min,CLRO_Close_volatility,CLRO_Close_change,CLRO_Volume_average,CLRO_Volume_max,CLRO_Volume_min,CLRO_Volume_volatility,CLRO_Volume_change
2018-01-14,8.2125,8.5,7.9,0.5999999999999996,-0.34999999999999964,8.2675,8.5,8.0,0.5,-0.23000000000000043,8.0625,8.25,7.9,0.34999999999999964,-0.09999999999999964,8.175,8.35,8.0,0.34999999999999964,-0.09999999999999964,3683,7361,1794,5567,-5392
2018-01-21,7.930000000000001,8.3,7.7,0.6000000000000005,-0.5000000000000009,8.046,8.3,7.88,0.4200000000000008,-0.4200000000000008,7.84,8.0,7.7,0.2999999999999998,-0.20000000000000018,7.892,8.0,7.78,0.21999999999999975,-0.15000000000000036,3656,5102,424,4678,3312
2018-01-28,7.906000000000001,8.3,7.7,0.6000000000000005,0.5500000000000007,8.16,8.69,7.8,0.8899999999999997,0.4300000000000006,7.886,8.25,7.7,0.5499999999999998,0.5,8.056,8.36,7.8,0.5599999999999996,0.2999999999999998,3320,7993,389,7604,666
2018-02-04,8.38,8.8,8.0,0.8000000000000007,0.25,8.42,8.9,8.1,0.8000000000000007,0.25,8.17,8.55,7.95,0.6000000000000005,0.0,8.3,8.55,8.05,0.5,0.1999999999999993,6801,20698,495,20203,2688
2018-02-11,8.133333333333333,8.4,7.95,0.4500000000000002,-0.34999999999999964,8.233333333333334,8.4,7.95,0.4500000000000002,-0.05000000000000071,8.016666666666666,8.1,7.95,0.14999999999999947,-0.09999999999999964,8.076666666666666,8.18,7.95,0.22999999999999954,0.08000000000000007,1932,3431,170,3261,1234
2018-02-18,8.03,8.08,8.0,0.08000000000000007,0.07000000000000028,8.063333333333333,8.1,8.01,0.08999999999999986,0.07000000000000028,8.026666666666667,8.08,8.0,0.08000000000000007,0.08000000000000007,8.043333333333333,8.08,8.0,0.08000000000000007,0.08000000000000007,770,1614,259,1355,-179
2018-02-25,8.04,8.2,7.95,0.2499999999999991,-0.04999999999999982,8.104,8.2,7.95,0.2499999999999991,-0.1299999999999999,7.97,8.0,7.95,0.04999999999999982,0.0,8.018,8.14,7.95,0.1900000000000004,-0.04999999999999982,2528,6778,742,6036,-1420
2018-03-04,7.96,8.05,7.8,0.2500000000000009,0.05000000000000071,8.07,8.15,8.0,0.15000000000000036,0.15000000000000036,7.72,7.95,7.55,0.40000000000000036,-0.27000000000000046,7.930000000000001,8.05,7.85,0.20000000000000107,0.0,7052,14111,593,13518,10867
2018-03-11,8.23,8.4,8.0,0.40000000000000036,0.34999999999999964,8.428,8.5,8.35,0.15000000000000036,-0.05000000000000071,8.126,8.28,7.8,0.47999999999999954,0.4500000000000002,8.26,8.4,8.1,0.3000000000000007,0.15000000000000036,9812,18789,1353,17436,-13988
2018-03-18,7.958,8.3,7.5,0.8000000000000007,-0.8000000000000007,8.104,8.5,7.7,0.7999999999999998,-0.7999999999999998,7.806,8.1,7.45,0.6499999999999995,-0.6499999999999995,7.936,8.35,7.6,0.75,-0.6499999999999995,2584,6266,380,5886,-5150
2018-03-25,7.4625,7.6,7.4,0.1999999999999993,0.0,7.625,7.95,7.4,0.5499999999999998,0.5499999999999998,7.3725000000000005,7.45,7.29,0.16000000000000014,0.05000000000000071,7.56,7.95,7.35,0.6000000000000005,0.5600000000000005,3358,5283,610,4673,2379
