Date,NuShares ESG US Aggregate Bond_etf_Open_average,NuShares ESG US Aggregate Bond_etf_Open_max,NuShares ESG US Aggregate Bond_etf_Open_min,NuShares ESG US Aggregate Bond_etf_Open_volatility,NuShares ESG US Aggregate Bond_etf_Open_change,NuShares ESG US Aggregate Bond_etf_High_average,NuShares ESG US Aggregate Bond_etf_High_max,NuShares ESG US Aggregate Bond_etf_High_min,NuShares ESG US Aggregate Bond_etf_High_volatility,NuShares ESG US Aggregate Bond_etf_High_change,NuShares ESG US Aggregate Bond_etf_Low_average,NuShares ESG US Aggregate Bond_etf_Low_max,NuShares ESG US Aggregate Bond_etf_Low_min,NuShares ESG US Aggregate Bond_etf_Low_volatility,NuShares ESG US Aggregate Bond_etf_Low_change,NuShares ESG US Aggregate Bond_etf_Close_average,NuShares ESG US Aggregate Bond_etf_Close_max,NuShares ESG US Aggregate Bond_etf_Close_min,NuShares ESG US Aggregate Bond_etf_Close_volatility,NuShares ESG US Aggregate Bond_etf_Close_change
2018-01-14,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-01-21,24.7,24.7,24.7,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2018-01-28,24.45,24.45,24.45,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2018-02-04,24.36,24.36,24.36,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2018-02-11,24.38,24.38,24.38,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2018-02-18,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2018-02-25,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-03-04,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2018-03-11,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-03-18,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-03-25,24.31,24.31,24.31,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-04-01,24.35,24.35,24.35,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-04-08,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
