Date,Peritus High Yield_Open_average,Peritus High Yield_Open_max,Peritus High Yield_Open_min,Peritus High Yield_Open_volatility,Peritus High Yield_Open_change,Peritus High Yield_High_average,Peritus High Yield_High_max,Peritus High Yield_High_min,Peritus High Yield_High_volatility,Peritus High Yield_High_change,Peritus High Yield_Low_average,Peritus High Yield_Low_max,Peritus High Yield_Low_min,Peritus High Yield_Low_volatility,Peritus High Yield_Low_change,Peritus High Yield_Close_average,Peritus High Yield_Close_max,Peritus High Yield_Close_min,Peritus High Yield_Close_volatility,Peritus High Yield_Close_change
2018-01-14,36.72,36.72,36.72,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-01-21,36.76,36.76,36.76,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2018-01-28,36.56,36.56,36.56,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-02-04,35.8,35.8,35.8,0.0,0.0,36.51,36.51,36.51,0.0,0.0,35.74,35.74,35.74,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-02-11,36.3,36.3,36.3,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-02-18,36.26,36.26,36.26,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-02-25,36.56,36.56,36.56,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-03-04,36.86,36.86,36.86,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-03-11,36.73,36.73,36.73,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.62,36.62,36.62,0.0,0.0
2018-03-18,36.55,36.55,36.55,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.65,36.65,36.65,0.0,0.0
