Date,VelocityShares Daily 4X Long USD vs. EUR_Open_average,VelocityShares Daily 4X Long USD vs. EUR_Open_max,VelocityShares Daily 4X Long USD vs. EUR_Open_min,VelocityShares Daily 4X Long USD vs. EUR_Open_volatility,VelocityShares Daily 4X Long USD vs. EUR_Open_change,VelocityShares Daily 4X Long USD vs. EUR_High_average,VelocityShares Daily 4X Long USD vs. EUR_High_max,VelocityShares Daily 4X Long USD vs. EUR_High_min,VelocityShares Daily 4X Long USD vs. EUR_High_volatility,VelocityShares Daily 4X Long USD vs. EUR_High_change,VelocityShares Daily 4X Long USD vs. EUR_Low_average,VelocityShares Daily 4X Long USD vs. EUR_Low_max,VelocityShares Daily 4X Long USD vs. EUR_Low_min,VelocityShares Daily 4X Long USD vs. EUR_Low_volatility,VelocityShares Daily 4X Long USD vs. EUR_Low_change,VelocityShares Daily 4X Long USD vs. EUR_Close_average,VelocityShares Daily 4X Long USD vs. EUR_Close_max,VelocityShares Daily 4X Long USD vs. EUR_Close_min,VelocityShares Daily 4X Long USD vs. EUR_Close_volatility,VelocityShares Daily 4X Long USD vs. EUR_Close_change
2018-01-14,21.23,21.23,21.23,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.35,21.35,21.35,0.0,0.0
2018-01-21,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2018-01-28,19.97,19.97,19.97,0.0,0.0,19.97,19.97,19.97,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.82,19.82,19.82,0.0,0.0
2018-02-04,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2018-02-11,20.02,20.02,20.02,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2018-02-18,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2018-02-25,20.9,20.9,20.9,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2018-03-04,20.89,20.89,20.89,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2018-03-11,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2018-03-18,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2018-03-25,20.66,20.66,20.66,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.91,20.91,20.91,0.0,0.0
2018-04-01,21.29,21.29,21.29,0.0,0.0,21.29,21.29,21.29,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-04-08,20.99,20.99,20.99,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-04-15,20.7,20.7,20.7,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2018-04-22,23.73,23.73,23.73,0.0,0.0,23.73,23.73,23.73,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.37,22.37,22.37,0.0,0.0
2018-04-29,23.94,23.94,23.94,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2018-05-06,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-05-13,25.31,25.31,25.31,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-05-20,26.33,26.33,26.33,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-05-27,26.24,26.24,26.24,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-06-03,25.36,25.36,25.36,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-06-10,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-06-17,26.35,26.35,26.35,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-06-24,26.53,26.53,26.53,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0
2018-07-01,25.52,25.52,25.52,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2018-07-08,26.52,26.52,26.52,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-07-15,25.93,25.93,25.93,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0
