Date,ProShares UltraShort MSCI Brazil Capped_Open_average,ProShares UltraShort MSCI Brazil Capped_Open_max,ProShares UltraShort MSCI Brazil Capped_Open_min,ProShares UltraShort MSCI Brazil Capped_Open_volatility,ProShares UltraShort MSCI Brazil Capped_Open_change,ProShares UltraShort MSCI Brazil Capped_High_average,ProShares UltraShort MSCI Brazil Capped_High_max,ProShares UltraShort MSCI Brazil Capped_High_min,ProShares UltraShort MSCI Brazil Capped_High_volatility,ProShares UltraShort MSCI Brazil Capped_High_change,ProShares UltraShort MSCI Brazil Capped_Low_average,ProShares UltraShort MSCI Brazil Capped_Low_max,ProShares UltraShort MSCI Brazil Capped_Low_min,ProShares UltraShort MSCI Brazil Capped_Low_volatility,ProShares UltraShort MSCI Brazil Capped_Low_change,ProShares UltraShort MSCI Brazil Capped_Close_average,ProShares UltraShort MSCI Brazil Capped_Close_max,ProShares UltraShort MSCI Brazil Capped_Close_min,ProShares UltraShort MSCI Brazil Capped_Close_volatility,ProShares UltraShort MSCI Brazil Capped_Close_change
2018-01-14,38.2,38.2,38.2,0.0,0.0,38.4,38.4,38.4,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-01-21,33.5,33.5,33.5,0.0,0.0,34.3,34.3,34.3,0.0,0.0,33.4,33.4,33.4,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-01-28,36.45,36.45,36.45,0.0,0.0,39.17,39.17,39.17,0.0,0.0,35.54,35.54,35.54,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2018-02-04,38.1,38.1,38.1,0.0,0.0,38.7,38.7,38.7,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-02-11,35.4,35.4,35.4,0.0,0.0,35.5,35.5,35.5,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-02-18,32.35,32.35,32.35,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-02-25,35.05,35.05,35.05,0.0,0.0,35.1,35.1,35.1,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-03-04,33.6,33.6,33.6,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-03-11,36.6,36.6,36.6,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-03-18,35.8,35.8,35.8,0.0,0.0,36.65,36.65,36.65,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-03-25,35.4,35.4,35.4,0.0,0.0,36.85,36.85,36.85,0.0,0.0,35.25,35.25,35.25,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-04-01,37.75,37.75,37.75,0.0,0.0,40.1,40.1,40.1,0.0,0.0,37.72,37.72,37.72,0.0,0.0,40.05,40.05,40.05,0.0,0.0
