Date,iShares International Select Dividend_Open_average,iShares International Select Dividend_Open_max,iShares International Select Dividend_Open_min,iShares International Select Dividend_Open_volatility,iShares International Select Dividend_Open_change,iShares International Select Dividend_High_average,iShares International Select Dividend_High_max,iShares International Select Dividend_High_min,iShares International Select Dividend_High_volatility,iShares International Select Dividend_High_change,iShares International Select Dividend_Low_average,iShares International Select Dividend_Low_max,iShares International Select Dividend_Low_min,iShares International Select Dividend_Low_volatility,iShares International Select Dividend_Low_change,iShares International Select Dividend_Close_average,iShares International Select Dividend_Close_max,iShares International Select Dividend_Close_min,iShares International Select Dividend_Close_volatility,iShares International Select Dividend_Close_change
2018-01-14,35.21,35.21,35.21,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-01-21,35.76,35.76,35.76,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-01-28,35.13,35.13,35.13,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-02-04,32.89,32.89,32.89,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-02-11,33.88,33.88,33.88,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-02-18,33.96,33.96,33.96,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-02-25,32.97,32.97,32.97,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-03-04,33.73,33.73,33.73,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-03-11,33.43,33.43,33.43,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-03-18,32.74,32.74,32.74,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.4,32.4,32.4,0.0,0.0
