Date,TrimTabs Float Shrink_Open_average,TrimTabs Float Shrink_Open_max,TrimTabs Float Shrink_Open_min,TrimTabs Float Shrink_Open_volatility,TrimTabs Float Shrink_Open_change,TrimTabs Float Shrink_High_average,TrimTabs Float Shrink_High_max,TrimTabs Float Shrink_High_min,TrimTabs Float Shrink_High_volatility,TrimTabs Float Shrink_High_change,TrimTabs Float Shrink_Low_average,TrimTabs Float Shrink_Low_max,TrimTabs Float Shrink_Low_min,TrimTabs Float Shrink_Low_volatility,TrimTabs Float Shrink_Low_change,TrimTabs Float Shrink_Close_average,TrimTabs Float Shrink_Close_max,TrimTabs Float Shrink_Close_min,TrimTabs Float Shrink_Close_volatility,TrimTabs Float Shrink_Close_change
2018-01-14,36.12,36.12,36.12,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.88,35.88,35.88,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-01-21,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-01-28,33.85,33.85,33.85,0.0,0.0,34.76,34.76,34.76,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-02-04,33.31,33.31,33.31,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-02-11,34.9,34.9,34.9,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-02-18,35.27,35.27,35.27,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-02-25,34.31,34.31,34.31,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-03-04,35.96,35.96,35.96,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2018-03-11,35.75,35.75,35.75,0.0,0.0,35.75,35.75,35.75,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-03-18,34.28,34.28,34.28,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.69,34.69,34.69,0.0,0.0
