Date,US Market Rotation StrategyEtf_Open_average,US Market Rotation StrategyEtf_Open_max,US Market Rotation StrategyEtf_Open_min,US Market Rotation StrategyEtf_Open_volatility,US Market Rotation StrategyEtf_Open_change,US Market Rotation StrategyEtf_High_average,US Market Rotation StrategyEtf_High_max,US Market Rotation StrategyEtf_High_min,US Market Rotation StrategyEtf_High_volatility,US Market Rotation StrategyEtf_High_change,US Market Rotation StrategyEtf_Low_average,US Market Rotation StrategyEtf_Low_max,US Market Rotation StrategyEtf_Low_min,US Market Rotation StrategyEtf_Low_volatility,US Market Rotation StrategyEtf_Low_change,US Market Rotation StrategyEtf_Close_average,US Market Rotation StrategyEtf_Close_max,US Market Rotation StrategyEtf_Close_min,US Market Rotation StrategyEtf_Close_volatility,US Market Rotation StrategyEtf_Close_change
2018-01-14,39.62,39.62,39.62,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2018-01-21,39.87,39.87,39.87,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.87,39.87,39.87,0.0,0.0,40.12,40.12,40.12,0.0,0.0
2018-01-28,39.27,39.27,39.27,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.23,39.23,39.23,0.0,0.0
2018-02-04,38.14,38.14,38.14,0.0,0.0,38.26,38.26,38.26,0.0,0.0,37.35,37.35,37.35,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2018-02-11,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.65,39.65,39.65,0.0,0.0
2018-02-18,39.51,39.51,39.51,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-02-25,38.66,38.66,38.66,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.66,38.66,38.66,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2018-03-04,39.99,39.99,39.99,0.0,0.0,40.47,40.47,40.47,0.0,0.0,39.99,39.99,39.99,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2018-03-11,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2018-03-18,39.02,39.02,39.02,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2018-03-25,38.55,38.55,38.55,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2018-04-01,38.53,38.53,38.53,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2018-04-08,38.81,38.81,38.81,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2018-04-15,39.24,39.24,39.24,0.0,0.0,39.24,39.24,39.24,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-04-22,39.08,39.08,39.08,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2018-04-29,39.01,39.01,39.01,0.0,0.0,39.43,39.43,39.43,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-05-06,39.75,39.75,39.75,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2018-05-13,39.85,39.85,39.85,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-05-20,39.96,39.96,39.96,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2018-05-27,40.39,40.39,40.39,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2018-06-03,40.61,40.61,40.61,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-06-10,40.86,40.86,40.86,0.0,0.0,41.06,41.06,41.06,0.0,0.0,40.82,40.82,40.82,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-06-17,40.61,40.61,40.61,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-06-24,40.09,40.09,40.09,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.99,39.99,39.99,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2018-07-01,39.7,39.7,39.7,0.0,0.0,40.62,40.62,40.62,0.0,0.0,39.7,39.7,39.7,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2018-07-08,40.91,40.91,40.91,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-07-15,40.94,40.94,40.94,0.0,0.0,41.02,41.02,41.02,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2018-07-22,41.2,41.2,41.2,0.0,0.0,41.2,41.2,41.2,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-07-29,40.39,40.39,40.39,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2018-08-05,40.17,40.17,40.17,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2018-08-12,40.03,40.03,40.03,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2018-08-19,40.21,40.21,40.21,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2018-08-26,40.68,40.68,40.68,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2018-09-02,40.48,40.48,40.48,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.47,40.47,40.47,0.0,0.0
