Date,PowerShares Global Clean Energy_Open_average,PowerShares Global Clean Energy_Open_max,PowerShares Global Clean Energy_Open_min,PowerShares Global Clean Energy_Open_volatility,PowerShares Global Clean Energy_Open_change,PowerShares Global Clean Energy_High_average,PowerShares Global Clean Energy_High_max,PowerShares Global Clean Energy_High_min,PowerShares Global Clean Energy_High_volatility,PowerShares Global Clean Energy_High_change,PowerShares Global Clean Energy_Low_average,PowerShares Global Clean Energy_Low_max,PowerShares Global Clean Energy_Low_min,PowerShares Global Clean Energy_Low_volatility,PowerShares Global Clean Energy_Low_change,PowerShares Global Clean Energy_Close_average,PowerShares Global Clean Energy_Close_max,PowerShares Global Clean Energy_Close_min,PowerShares Global Clean Energy_Close_volatility,PowerShares Global Clean Energy_Close_change
2018-01-14,13.75,13.75,13.75,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.74,13.74,13.74,0.0,0.0
2018-01-21,13.68,13.68,13.68,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2018-01-28,13.1,13.1,13.1,0.0,0.0,13.2,13.2,13.2,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.73,12.73,12.73,0.0,0.0
2018-02-04,12.82,12.82,12.82,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.72,12.72,12.72,0.0,0.0
2018-02-11,13.23,13.23,13.23,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2018-02-18,13.21,13.21,13.21,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2018-02-25,12.95,12.95,12.95,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2018-03-04,13.31,13.31,13.31,0.0,0.0,13.36,13.36,13.36,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.33,13.33,13.33,0.0,0.0
2018-03-11,13.24,13.24,13.24,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.23,13.23,13.23,0.0,0.0
2018-03-18,13.14,13.14,13.14,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.01,13.01,13.01,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2018-03-25,12.78,12.78,12.78,0.0,0.0,13.23,13.23,13.23,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2018-04-01,12.72,12.72,12.72,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2018-04-08,13.12,13.12,13.12,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2018-04-15,13.02,13.02,13.02,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.0,13.0,13.0,0.0,0.0,13.01,13.01,13.01,0.0,0.0
