Date,Vanguard Sht-Term Inflation-Protected Securities_etf_Open_average,Vanguard Sht-Term Inflation-Protected Securities_etf_Open_max,Vanguard Sht-Term Inflation-Protected Securities_etf_Open_min,Vanguard Sht-Term Inflation-Protected Securities_etf_Open_volatility,Vanguard Sht-Term Inflation-Protected Securities_etf_Open_change,Vanguard Sht-Term Inflation-Protected Securities_etf_High_average,Vanguard Sht-Term Inflation-Protected Securities_etf_High_max,Vanguard Sht-Term Inflation-Protected Securities_etf_High_min,Vanguard Sht-Term Inflation-Protected Securities_etf_High_volatility,Vanguard Sht-Term Inflation-Protected Securities_etf_High_change,Vanguard Sht-Term Inflation-Protected Securities_etf_Low_average,Vanguard Sht-Term Inflation-Protected Securities_etf_Low_max,Vanguard Sht-Term Inflation-Protected Securities_etf_Low_min,Vanguard Sht-Term Inflation-Protected Securities_etf_Low_volatility,Vanguard Sht-Term Inflation-Protected Securities_etf_Low_change,Vanguard Sht-Term Inflation-Protected Securities_etf_Close_average,Vanguard Sht-Term Inflation-Protected Securities_etf_Close_max,Vanguard Sht-Term Inflation-Protected Securities_etf_Close_min,Vanguard Sht-Term Inflation-Protected Securities_etf_Close_volatility,Vanguard Sht-Term Inflation-Protected Securities_etf_Close_change
2018-01-14,48.74,48.74,48.74,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-01-21,48.77,48.77,48.77,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-01-28,48.62,48.62,48.62,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2018-02-04,48.58,48.58,48.58,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2018-02-11,48.62,48.62,48.62,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-02-18,48.64,48.64,48.64,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-02-25,48.71,48.71,48.71,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-03-04,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-03-11,48.78,48.78,48.78,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-03-18,48.83,48.83,48.83,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-03-25,48.87,48.87,48.87,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2018-04-01,48.9,48.9,48.9,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-04-08,48.9,48.9,48.9,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-04-15,48.89,48.89,48.89,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-04-22,48.86,48.86,48.86,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2018-04-29,48.9,48.9,48.9,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-05-06,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2018-05-13,48.89,48.89,48.89,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-05-20,48.97,48.97,48.97,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-05-27,49.0,49.0,49.0,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-06-03,49.01,49.01,49.01,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-06-10,48.97,48.97,48.97,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2018-06-17,48.74,48.74,48.74,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-06-24,48.82,48.82,48.82,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2018-07-01,48.91,48.91,48.91,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-07-08,48.86,48.86,48.86,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-07-15,48.81,48.81,48.81,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-07-22,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-07-29,48.77,48.77,48.77,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-08-05,48.87,48.87,48.87,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-08-12,48.89,48.89,48.89,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-08-19,48.99,48.99,48.99,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-08-26,49.01,49.01,49.01,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-09-02,48.93,48.93,48.93,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-09-09,48.84,48.84,48.84,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-09-16,48.83,48.83,48.83,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2018-09-23,48.36,48.36,48.36,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2018-09-30,48.25,48.25,48.25,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2018-10-07,48.21,48.21,48.21,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-10-14,48.2,48.2,48.2,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-10-21,48.2,48.2,48.2,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-10-28,48.09,48.09,48.09,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-11-04,48.07,48.07,48.07,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-11-11,48.25,48.25,48.25,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-11-18,48.13,48.13,48.13,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-11-25,48.18,48.18,48.18,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-12-02,48.19,48.19,48.19,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-12-09,47.77,47.77,47.77,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-12-16,47.73,47.73,47.73,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-12-23,47.82,47.82,47.82,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2018-12-30,47.99,47.99,47.99,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2019-01-06,48.1,48.1,48.1,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2019-01-13,48.02,48.02,48.02,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2019-01-20,48.01,48.01,48.01,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2019-01-27,48.24,48.24,48.24,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2019-02-03,48.2,48.2,48.2,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2019-02-10,48.26,48.26,48.26,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.27,48.27,48.27,0.0,0.0
2019-02-17,48.3,48.3,48.3,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.36,48.36,48.36,0.0,0.0
