Date,BRKL_Open_average,BRKL_Open_max,BRKL_Open_min,BRKL_Open_volatility,BRKL_Open_change,BRKL_High_average,BRKL_High_max,BRKL_High_min,BRKL_High_volatility,BRKL_High_change,BRKL_Low_average,BRKL_Low_max,BRKL_Low_min,BRKL_Low_volatility,BRKL_Low_change,BRKL_Close_average,BRKL_Close_max,BRKL_Close_min,BRKL_Close_volatility,BRKL_Close_change,BRKL_Volume_average,BRKL_Volume_max,BRKL_Volume_min,BRKL_Volume_volatility,BRKL_Volume_change
2018-01-14,16.36,16.55,16.2,0.3500000000000014,0.15000000000000213,16.47,16.55,16.4,0.15000000000000213,0.10000000000000142,16.216,16.25,16.2,0.05000000000000071,0.019999999999999574,16.38,16.55,16.25,0.3000000000000007,0.14999999999999858,237325,303823,131698,172125,-172125
2018-01-21,16.38,16.6,16.1,0.5,-0.29999999999999716,16.490000000000002,16.6,16.3,0.3000000000000007,-0.3000000000000007,16.080000000000002,16.3,15.65,0.6500000000000004,-0.5999999999999996,16.32,16.5,16.15,0.3500000000000014,-0.3500000000000014,332489,650188,157611,492577,57474
2018-01-28,16.32,16.8,15.95,0.8500000000000014,0.5499999999999972,16.66,17.05,16.2,0.8500000000000014,0.8000000000000007,16.114,16.6,15.85,0.7500000000000018,0.34999999999999964,16.36,16.8,16.0,0.8000000000000007,0.1999999999999993,356683,471098,205405,265693,242773
2018-02-04,16.05,16.25,15.8,0.4499999999999993,0.3999999999999986,16.336000000000002,16.38,16.25,0.129999999999999,0.0,15.870000000000001,16.1,15.65,0.45000000000000107,0.34999999999999964,16.12,16.25,15.8,0.4499999999999993,0.05000000000000071,430817,544325,360305,184020,-114714
2018-02-11,16.2125,16.55,16.05,0.5,0.14999999999999858,16.525,16.75,16.3,0.4499999999999993,0.4499999999999993,16.1375,16.25,16.05,0.1999999999999993,0.14999999999999858,16.3625,16.5,16.2,0.3000000000000007,0.3000000000000007,543918,1333268,236130,1097138,1097138
2018-02-18,16.41,16.6,16.25,0.3500000000000014,-0.10000000000000142,16.58,16.8,16.4,0.40000000000000213,-0.40000000000000213,16.169999999999998,16.25,16.0,0.25,-0.25,16.37,16.55,16.2,0.3500000000000014,0.0,248932,304243,169985,134258,-60600
2018-02-25,16.14,16.45,15.8,0.6499999999999986,-0.25,16.43,16.75,16.05,0.6999999999999993,-0.14999999999999858,15.954,16.3,15.75,0.5500000000000007,-0.23000000000000043,16.154,16.5,15.85,0.6500000000000004,0.1999999999999993,321815,394018,268512,125506,-85777
2018-03-04,16.669999999999998,17.0,16.4,0.6000000000000014,0.5,16.830000000000002,17.05,16.6,0.4499999999999993,0.4499999999999993,16.43,16.8,16.15,0.6500000000000021,0.6500000000000021,16.72,17.05,16.45,0.6000000000000014,0.5,491973,1052837,290575,762262,-138061
2018-03-11,16.95,17.05,16.8,0.25,-0.05000000000000071,17.06,17.2,16.95,0.25,0.05000000000000071,16.778,16.85,16.65,0.20000000000000284,-0.060000000000002274,16.94,17.05,16.8,0.25,0.15000000000000213,345872,799736,178065,621671,-22352
2018-03-18,16.64,17.0,16.05,0.9499999999999993,-0.9499999999999993,16.82,17.1,16.45,0.6500000000000021,-0.6500000000000021,16.37,16.8,15.9,0.9000000000000004,-0.8000000000000007,16.51,16.95,15.95,1.0,-0.5,250901,359659,168156,191503,104819
