Date,Assured Guaranty Municipal Holdings Inc_Open_average,Assured Guaranty Municipal Holdings Inc_Open_max,Assured Guaranty Municipal Holdings Inc_Open_min,Assured Guaranty Municipal Holdings Inc_Open_volatility,Assured Guaranty Municipal Holdings Inc_Open_change,Assured Guaranty Municipal Holdings Inc_High_average,Assured Guaranty Municipal Holdings Inc_High_max,Assured Guaranty Municipal Holdings Inc_High_min,Assured Guaranty Municipal Holdings Inc_High_volatility,Assured Guaranty Municipal Holdings Inc_High_change,Assured Guaranty Municipal Holdings Inc_Low_average,Assured Guaranty Municipal Holdings Inc_Low_max,Assured Guaranty Municipal Holdings Inc_Low_min,Assured Guaranty Municipal Holdings Inc_Low_volatility,Assured Guaranty Municipal Holdings Inc_Low_change,Assured Guaranty Municipal Holdings Inc_Close_average,Assured Guaranty Municipal Holdings Inc_Close_max,Assured Guaranty Municipal Holdings Inc_Close_min,Assured Guaranty Municipal Holdings Inc_Close_volatility,Assured Guaranty Municipal Holdings Inc_Close_change
2018-01-14,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2018-01-21,24.75,24.75,24.75,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-01-28,24.66,24.66,24.66,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2018-02-04,24.65,24.65,24.65,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2018-02-11,24.65,24.65,24.65,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-02-18,24.97,24.97,24.97,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2018-02-25,25.01,25.01,25.01,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2018-03-04,25.2,25.2,25.2,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-03-11,25.06,25.06,25.06,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-03-18,25.21,25.21,25.21,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-03-25,24.75,24.75,24.75,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2018-04-01,24.8,24.8,24.8,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-04-08,24.84,24.84,24.84,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-04-15,24.8,24.8,24.8,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-04-22,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2018-04-29,24.74,24.74,24.74,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-05-06,24.98,24.98,24.98,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-05-13,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
