Date,SPDR Portfolio Mortgage Backed BondEtf_Open_average,SPDR Portfolio Mortgage Backed BondEtf_Open_max,SPDR Portfolio Mortgage Backed BondEtf_Open_min,SPDR Portfolio Mortgage Backed BondEtf_Open_volatility,SPDR Portfolio Mortgage Backed BondEtf_Open_change,SPDR Portfolio Mortgage Backed BondEtf_High_average,SPDR Portfolio Mortgage Backed BondEtf_High_max,SPDR Portfolio Mortgage Backed BondEtf_High_min,SPDR Portfolio Mortgage Backed BondEtf_High_volatility,SPDR Portfolio Mortgage Backed BondEtf_High_change,SPDR Portfolio Mortgage Backed BondEtf_Low_average,SPDR Portfolio Mortgage Backed BondEtf_Low_max,SPDR Portfolio Mortgage Backed BondEtf_Low_min,SPDR Portfolio Mortgage Backed BondEtf_Low_volatility,SPDR Portfolio Mortgage Backed BondEtf_Low_change,SPDR Portfolio Mortgage Backed BondEtf_Close_average,SPDR Portfolio Mortgage Backed BondEtf_Close_max,SPDR Portfolio Mortgage Backed BondEtf_Close_min,SPDR Portfolio Mortgage Backed BondEtf_Close_volatility,SPDR Portfolio Mortgage Backed BondEtf_Close_change
2018-01-14,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-01-21,25.83,25.83,25.83,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-01-28,25.55,25.55,25.55,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2018-02-04,25.47,25.47,25.47,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-02-11,25.44,25.44,25.44,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2018-02-18,25.44,25.44,25.44,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-02-25,25.55,25.55,25.55,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-03-04,25.43,25.43,25.43,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2018-03-11,25.51,25.51,25.51,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2018-03-18,25.46,25.46,25.46,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-03-25,25.59,25.59,25.59,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-04-01,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-04-08,25.48,25.48,25.48,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-04-15,25.37,25.37,25.37,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2018-04-22,25.33,25.33,25.33,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
