Date,SPDR Dorsey Wright Fixed Income Allocation_etf_Open_average,SPDR Dorsey Wright Fixed Income Allocation_etf_Open_max,SPDR Dorsey Wright Fixed Income Allocation_etf_Open_min,SPDR Dorsey Wright Fixed Income Allocation_etf_Open_volatility,SPDR Dorsey Wright Fixed Income Allocation_etf_Open_change,SPDR Dorsey Wright Fixed Income Allocation_etf_High_average,SPDR Dorsey Wright Fixed Income Allocation_etf_High_max,SPDR Dorsey Wright Fixed Income Allocation_etf_High_min,SPDR Dorsey Wright Fixed Income Allocation_etf_High_volatility,SPDR Dorsey Wright Fixed Income Allocation_etf_High_change,SPDR Dorsey Wright Fixed Income Allocation_etf_Low_average,SPDR Dorsey Wright Fixed Income Allocation_etf_Low_max,SPDR Dorsey Wright Fixed Income Allocation_etf_Low_min,SPDR Dorsey Wright Fixed Income Allocation_etf_Low_volatility,SPDR Dorsey Wright Fixed Income Allocation_etf_Low_change,SPDR Dorsey Wright Fixed Income Allocation_etf_Close_average,SPDR Dorsey Wright Fixed Income Allocation_etf_Close_max,SPDR Dorsey Wright Fixed Income Allocation_etf_Close_min,SPDR Dorsey Wright Fixed Income Allocation_etf_Close_volatility,SPDR Dorsey Wright Fixed Income Allocation_etf_Close_change
2018-01-14,25.58,25.58,25.58,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-01-21,25.76,25.76,25.76,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-01-28,25.4,25.4,25.4,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-02-04,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-02-11,25.22,25.22,25.22,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-02-18,25.11,25.11,25.11,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-02-25,24.86,24.86,24.86,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-03-04,25.18,25.18,25.18,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-03-11,25.14,25.14,25.14,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-03-18,25.09,25.09,25.09,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-03-25,25.13,25.13,25.13,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-04-01,24.83,24.83,24.83,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-04-08,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-04-15,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
