Date,BITA_Open_average,BITA_Open_max,BITA_Open_min,BITA_Open_volatility,BITA_Open_change,BITA_High_average,BITA_High_max,BITA_High_min,BITA_High_volatility,BITA_High_change,BITA_Low_average,BITA_Low_max,BITA_Low_min,BITA_Low_volatility,BITA_Low_change,BITA_Close_average,BITA_Close_max,BITA_Close_min,BITA_Close_volatility,BITA_Close_change,BITA_Volume_average,BITA_Volume_max,BITA_Volume_min,BITA_Volume_volatility,BITA_Volume_change
2018-01-14,37.216,38.26,36.1,2.1599999999999966,1.6999999999999957,38.002,38.73,37.09,1.6399999999999935,1.519999999999996,36.656,37.29,35.76,1.5300000000000011,1.2800000000000011,37.658,38.57,36.47,2.1000000000000014,2.1000000000000014,1090023,1724398,775495,948903,-815010
2018-01-21,38.988,39.25,38.74,0.509999999999998,0.07000000000000028,39.284,39.54,38.94,0.6000000000000014,-0.6000000000000014,37.996,38.41,36.85,1.5599999999999952,-1.1899999999999977,38.594,39.15,36.94,2.210000000000001,-2.039999999999999,822166,1034984,640839,394145,-207402
2018-01-28,33.962,36.2,31.23,4.970000000000002,-4.970000000000002,34.174,36.29,32.01,4.280000000000001,-4.280000000000001,32.424,34.01,30.0,4.009999999999998,-3.8999999999999986,32.932,35.4,30.03,5.369999999999997,-5.369999999999997,1042141,1311340,724443,586897,-290008
2018-02-04,28.8,29.8,27.18,2.620000000000001,-1.9699999999999989,29.75,30.59,28.63,1.9600000000000009,-1.3900000000000006,27.568,28.9,25.41,3.4899999999999984,-1.7199999999999989,28.438,30.04,27.04,3.0,-1.3099999999999987,1226504,2126582,811636,1314946,332946
2018-02-11,29.985,31.13,28.83,2.3000000000000007,1.860000000000003,30.8775,31.76,29.96,1.8000000000000007,0.9299999999999997,29.5575,30.18,28.71,1.4699999999999989,1.4699999999999989,30.3725,31.0,29.45,1.5500000000000007,0.9800000000000004,625908,784607,445896,338711,-282688
2018-02-18,31.12,31.73,29.79,1.9400000000000013,1.9299999999999997,31.96,32.59,30.8,1.7900000000000027,1.7600000000000016,30.744,31.3,29.51,1.7899999999999991,1.7899999999999991,31.332,31.68,30.64,1.0399999999999991,1.0399999999999991,560808,863011,296855,566156,-343695
2018-02-25,29.144,31.52,27.07,4.449999999999999,-3.3000000000000007,29.741999999999997,31.65,28.65,3.0,-2.9499999999999993,27.836,29.9,26.52,3.379999999999999,-2.2699999999999996,28.568,29.97,27.42,2.549999999999997,-1.4699999999999989,634258,853591,419210,434381,-145201
2018-03-04,29.438,31.19,28.41,2.780000000000001,2.200000000000003,30.220000000000002,32.2,28.8,3.400000000000002,2.780000000000001,28.924,31.01,27.5,3.5100000000000016,2.8900000000000006,29.884,31.73,28.55,3.1799999999999997,2.84,677385,978367,502927,475440,475440
2018-03-11,29.18,32.0,24.89,7.109999999999999,-7.109999999999999,29.426,32.0,25.54,6.460000000000001,-6.460000000000001,27.02,30.52,24.0,6.52,-6.419999999999998,27.714,30.93,24.47,6.460000000000001,-6.120000000000001,2242235,4360419,750059,3610360,826084
2018-03-18,23.772,25.11,22.45,2.66,-2.3000000000000007,24.08,25.38,22.83,2.5500000000000007,-2.5500000000000007,22.892,24.89,21.1,3.789999999999999,-3.789999999999999,23.138,25.04,21.48,3.5599999999999987,-3.5599999999999987,1381704,1631600,1059354,572246,503519
2018-03-25,20.8475,21.5,19.99,1.5100000000000016,-0.4800000000000004,21.59,21.93,21.31,0.620000000000001,-0.620000000000001,20.195,20.73,19.66,1.0700000000000003,0.9299999999999997,20.7325,21.15,20.03,1.1199999999999974,0.9599999999999973,1620703,2232277,712233,1520044,-1067298
