Date,USAA Core Short-Term BondEtf_Open_average,USAA Core Short-Term BondEtf_Open_max,USAA Core Short-Term BondEtf_Open_min,USAA Core Short-Term BondEtf_Open_volatility,USAA Core Short-Term BondEtf_Open_change,USAA Core Short-Term BondEtf_High_average,USAA Core Short-Term BondEtf_High_max,USAA Core Short-Term BondEtf_High_min,USAA Core Short-Term BondEtf_High_volatility,USAA Core Short-Term BondEtf_High_change,USAA Core Short-Term BondEtf_Low_average,USAA Core Short-Term BondEtf_Low_max,USAA Core Short-Term BondEtf_Low_min,USAA Core Short-Term BondEtf_Low_volatility,USAA Core Short-Term BondEtf_Low_change,USAA Core Short-Term BondEtf_Close_average,USAA Core Short-Term BondEtf_Close_max,USAA Core Short-Term BondEtf_Close_min,USAA Core Short-Term BondEtf_Close_volatility,USAA Core Short-Term BondEtf_Close_change
2018-01-14,49.89,49.89,49.89,0.0,0.0,54.88,54.88,54.88,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-01-21,49.85,49.85,49.85,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-01-28,49.78,49.78,49.78,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-02-04,49.78,49.78,49.78,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-02-11,49.7,49.7,49.7,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-02-18,49.63,49.63,49.63,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-02-25,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-03-04,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-03-11,49.61,49.61,49.61,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-03-18,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-03-25,49.59,49.59,49.59,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-04-01,49.58,49.58,49.58,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-04-08,49.55,49.55,49.55,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-04-15,49.49,49.49,49.49,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-04-22,49.34,49.34,49.34,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-04-29,49.49,49.49,49.49,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.48,49.48,49.48,0.0,0.0
