Date,EquityCompass Tactical Risk ManagerEtf_Open_average,EquityCompass Tactical Risk ManagerEtf_Open_max,EquityCompass Tactical Risk ManagerEtf_Open_min,EquityCompass Tactical Risk ManagerEtf_Open_volatility,EquityCompass Tactical Risk ManagerEtf_Open_change,EquityCompass Tactical Risk ManagerEtf_High_average,EquityCompass Tactical Risk ManagerEtf_High_max,EquityCompass Tactical Risk ManagerEtf_High_min,EquityCompass Tactical Risk ManagerEtf_High_volatility,EquityCompass Tactical Risk ManagerEtf_High_change,EquityCompass Tactical Risk ManagerEtf_Low_average,EquityCompass Tactical Risk ManagerEtf_Low_max,EquityCompass Tactical Risk ManagerEtf_Low_min,EquityCompass Tactical Risk ManagerEtf_Low_volatility,EquityCompass Tactical Risk ManagerEtf_Low_change,EquityCompass Tactical Risk ManagerEtf_Close_average,EquityCompass Tactical Risk ManagerEtf_Close_max,EquityCompass Tactical Risk ManagerEtf_Close_min,EquityCompass Tactical Risk ManagerEtf_Close_volatility,EquityCompass Tactical Risk ManagerEtf_Close_change
2018-01-14,23.1,23.1,23.1,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.19,23.19,23.19,0.0,0.0
2018-01-21,23.52,23.52,23.52,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-01-28,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.73,22.73,22.73,0.0,0.0
2018-02-04,21.55,21.55,21.55,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2018-02-11,22.57,22.57,22.57,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2018-02-18,22.28,22.28,22.28,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2018-02-25,21.76,21.76,21.76,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.85,21.85,21.85,0.0,0.0
2018-03-04,22.39,22.39,22.39,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.59,22.59,22.59,0.0,0.0
2018-03-11,22.37,22.37,22.37,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2018-03-18,21.52,21.52,21.52,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.09,21.09,21.09,0.0,0.0
