Date,Reality Shares Divcon Leaders DividendEtf_Open_average,Reality Shares Divcon Leaders DividendEtf_Open_max,Reality Shares Divcon Leaders DividendEtf_Open_min,Reality Shares Divcon Leaders DividendEtf_Open_volatility,Reality Shares Divcon Leaders DividendEtf_Open_change,Reality Shares Divcon Leaders DividendEtf_High_average,Reality Shares Divcon Leaders DividendEtf_High_max,Reality Shares Divcon Leaders DividendEtf_High_min,Reality Shares Divcon Leaders DividendEtf_High_volatility,Reality Shares Divcon Leaders DividendEtf_High_change,Reality Shares Divcon Leaders DividendEtf_Low_average,Reality Shares Divcon Leaders DividendEtf_Low_max,Reality Shares Divcon Leaders DividendEtf_Low_min,Reality Shares Divcon Leaders DividendEtf_Low_volatility,Reality Shares Divcon Leaders DividendEtf_Low_change,Reality Shares Divcon Leaders DividendEtf_Close_average,Reality Shares Divcon Leaders DividendEtf_Close_max,Reality Shares Divcon Leaders DividendEtf_Close_min,Reality Shares Divcon Leaders DividendEtf_Close_volatility,Reality Shares Divcon Leaders DividendEtf_Close_change
2018-01-14,33.63,33.63,33.63,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-01-21,33.87,33.87,33.87,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.87,33.87,33.87,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-01-28,33.13,33.13,33.13,0.0,0.0,33.39,33.39,33.39,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-02-04,31.06,31.06,31.06,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.43,30.43,30.43,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2018-02-11,32.46,32.46,32.46,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-02-18,32.79,32.79,32.79,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-02-25,31.95,31.95,31.95,0.0,0.0,32.37,32.37,32.37,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-03-04,33.21,33.21,33.21,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-03-11,33.24,33.24,33.24,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-03-18,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-03-25,31.57,31.57,31.57,0.0,0.0,32.17,32.17,32.17,0.0,0.0,31.57,31.57,31.57,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-04-01,31.7,31.7,31.7,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.33,31.33,31.33,0.0,0.0
