Date,Victory CEMP Developed Enhanced Volatility WeighteEtf_Open_average,Victory CEMP Developed Enhanced Volatility WeighteEtf_Open_max,Victory CEMP Developed Enhanced Volatility WeighteEtf_Open_min,Victory CEMP Developed Enhanced Volatility WeighteEtf_Open_volatility,Victory CEMP Developed Enhanced Volatility WeighteEtf_Open_change,Victory CEMP Developed Enhanced Volatility WeighteEtf_High_average,Victory CEMP Developed Enhanced Volatility WeighteEtf_High_max,Victory CEMP Developed Enhanced Volatility WeighteEtf_High_min,Victory CEMP Developed Enhanced Volatility WeighteEtf_High_volatility,Victory CEMP Developed Enhanced Volatility WeighteEtf_High_change,Victory CEMP Developed Enhanced Volatility WeighteEtf_Low_average,Victory CEMP Developed Enhanced Volatility WeighteEtf_Low_max,Victory CEMP Developed Enhanced Volatility WeighteEtf_Low_min,Victory CEMP Developed Enhanced Volatility WeighteEtf_Low_volatility,Victory CEMP Developed Enhanced Volatility WeighteEtf_Low_change,Victory CEMP Developed Enhanced Volatility WeighteEtf_Close_average,Victory CEMP Developed Enhanced Volatility WeighteEtf_Close_max,Victory CEMP Developed Enhanced Volatility WeighteEtf_Close_min,Victory CEMP Developed Enhanced Volatility WeighteEtf_Close_volatility,Victory CEMP Developed Enhanced Volatility WeighteEtf_Close_change
2018-01-14,36.89,36.89,36.89,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-01-21,37.34,37.34,37.34,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2018-01-28,36.58,36.58,36.58,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-02-04,34.44,34.44,34.44,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.62,33.62,33.62,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2018-02-11,35.33,35.33,35.33,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2018-02-18,35.6,35.6,35.6,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-02-25,34.53,34.53,34.53,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-03-04,35.38,35.38,35.38,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-03-11,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-03-18,34.43,34.43,34.43,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-03-25,35.02,35.02,35.02,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.97,34.97,34.97,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2018-04-01,35.04,35.04,35.04,0.0,0.0,35.24,35.24,35.24,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2018-04-08,35.51,35.51,35.51,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2018-04-15,35.38,35.38,35.38,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2018-04-22,35.31,35.31,35.31,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2018-04-29,34.97,34.97,34.97,0.0,0.0,35.38,35.38,35.38,0.0,0.0,34.97,34.97,34.97,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-05-06,35.72,35.72,35.72,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-05-13,35.45,35.45,35.45,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2018-05-20,34.98,34.98,34.98,0.0,0.0,35.1,35.1,35.1,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2018-05-27,34.61,34.61,34.61,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-06-03,35.11,35.11,35.11,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2018-06-10,34.64,34.64,34.64,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-06-17,34.23,34.23,34.23,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2018-06-24,33.95,33.95,33.95,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-07-01,33.78,33.78,33.78,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-07-08,33.99,33.99,33.99,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-07-15,33.97,33.97,33.97,0.0,0.0,34.36,34.36,34.36,0.0,0.0,33.97,33.97,33.97,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-07-22,34.94,34.94,34.94,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-07-29,34.19,34.19,34.19,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-08-05,33.78,33.78,33.78,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2018-08-12,33.21,33.21,33.21,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-08-19,34.0,34.0,34.0,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.98,33.98,33.98,0.0,0.0
