Date,iShares MSCI IndiaEtf_Open_average,iShares MSCI IndiaEtf_Open_max,iShares MSCI IndiaEtf_Open_min,iShares MSCI IndiaEtf_Open_volatility,iShares MSCI IndiaEtf_Open_change,iShares MSCI IndiaEtf_High_average,iShares MSCI IndiaEtf_High_max,iShares MSCI IndiaEtf_High_min,iShares MSCI IndiaEtf_High_volatility,iShares MSCI IndiaEtf_High_change,iShares MSCI IndiaEtf_Low_average,iShares MSCI IndiaEtf_Low_max,iShares MSCI IndiaEtf_Low_min,iShares MSCI IndiaEtf_Low_volatility,iShares MSCI IndiaEtf_Low_change,iShares MSCI IndiaEtf_Close_average,iShares MSCI IndiaEtf_Close_max,iShares MSCI IndiaEtf_Close_min,iShares MSCI IndiaEtf_Close_volatility,iShares MSCI IndiaEtf_Close_change
2018-01-14,37.3,37.3,37.3,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-01-21,37.91,37.91,37.91,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.81,37.81,37.81,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2018-01-28,36.01,36.01,36.01,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-02-04,35.02,35.02,35.02,0.0,0.0,35.45,35.45,35.45,0.0,0.0,34.44,34.44,34.44,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-02-11,35.0,35.0,35.0,0.0,0.0,35.41,35.41,35.41,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-02-18,35.08,35.08,35.08,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-02-25,34.02,34.02,34.02,0.0,0.0,34.47,34.47,34.47,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-03-04,34.05,34.05,34.05,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-03-11,34.2,34.2,34.2,0.0,0.0,34.26,34.26,34.26,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-03-18,33.44,33.44,33.44,0.0,0.0,33.6,33.6,33.6,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2018-03-25,33.69,33.69,33.69,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.64,33.64,33.64,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-04-01,34.63,34.63,34.63,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-04-08,34.96,34.96,34.96,0.0,0.0,34.99,34.99,34.99,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-04-15,34.66,34.66,34.66,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-04-22,34.9,34.9,34.9,0.0,0.0,35.01,35.01,35.01,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-04-29,34.11,34.11,34.11,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-05-06,34.27,34.27,34.27,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-05-13,32.99,32.99,32.99,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-05-20,33.26,33.26,33.26,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-05-27,33.69,33.69,33.69,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-06-03,33.77,33.77,33.77,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-06-10,33.65,33.65,33.65,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-06-17,33.8,33.8,33.8,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.77,33.77,33.77,0.0,0.0
