Date,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Open_average,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Open_max,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Open_min,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Open_volatility,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Open_change,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_High_average,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_High_max,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_High_min,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_High_volatility,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_High_change,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Low_average,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Low_max,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Low_min,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Low_volatility,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Low_change,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Close_average,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Close_max,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Close_min,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Close_volatility,NuStar Logistics 7.625% Fixed To Floating Rate SubEtf_Close_change
2018-01-14,25.28,25.28,25.28,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-01-21,25.3,25.3,25.3,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-01-28,25.31,25.31,25.31,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-02-04,25.26,25.26,25.26,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-02-11,25.27,25.27,25.27,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-02-18,25.44,25.44,25.44,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-02-25,25.36,25.36,25.36,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-03-04,25.19,25.19,25.19,0.0,0.0,25.35,25.35,25.35,0.0,0.0,24.55,24.55,24.55,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-03-11,25.48,25.48,25.48,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-03-18,25.48,25.48,25.48,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-03-25,25.22,25.22,25.22,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-04-01,25.11,25.11,25.11,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-04-08,25.18,25.18,25.18,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-04-15,25.14,25.14,25.14,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.14,25.14,25.14,0.0,0.0
