Date,Pacer WealthShieldEtf_Open_average,Pacer WealthShieldEtf_Open_max,Pacer WealthShieldEtf_Open_min,Pacer WealthShieldEtf_Open_volatility,Pacer WealthShieldEtf_Open_change,Pacer WealthShieldEtf_High_average,Pacer WealthShieldEtf_High_max,Pacer WealthShieldEtf_High_min,Pacer WealthShieldEtf_High_volatility,Pacer WealthShieldEtf_High_change,Pacer WealthShieldEtf_Low_average,Pacer WealthShieldEtf_Low_max,Pacer WealthShieldEtf_Low_min,Pacer WealthShieldEtf_Low_volatility,Pacer WealthShieldEtf_Low_change,Pacer WealthShieldEtf_Close_average,Pacer WealthShieldEtf_Close_max,Pacer WealthShieldEtf_Close_min,Pacer WealthShieldEtf_Close_volatility,Pacer WealthShieldEtf_Close_change
2018-01-14,26.53,26.53,26.53,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-01-21,27.13,27.13,27.13,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2018-01-28,27.67,27.67,27.67,0.0,0.0,27.67,27.67,27.67,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-02-04,24.75,24.75,24.75,0.0,0.0,24.9,24.9,24.9,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-02-11,25.9,25.9,25.9,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-02-18,25.92,25.92,25.92,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-02-25,25.38,25.38,25.38,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-03-04,26.55,26.55,26.55,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-03-11,26.36,26.36,26.36,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-03-18,25.3,25.3,25.3,0.0,0.0,25.34,25.34,25.34,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-03-25,24.71,24.71,24.71,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.71,24.71,24.71,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-04-01,25.02,25.02,25.02,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-04-08,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-04-15,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-04-22,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2018-04-29,24.94,24.94,24.94,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.94,24.94,24.94,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-05-06,26.22,26.22,26.22,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-05-13,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2018-05-20,26.18,26.18,26.18,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-05-27,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-06-03,26.0,26.0,26.0,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2018-06-10,26.29,26.29,26.29,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-06-17,26.11,26.11,26.11,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-06-24,26.47,26.47,26.47,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-07-01,26.68,26.68,26.68,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2018-07-08,26.67,26.67,26.67,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.68,26.68,26.68,0.0,0.0
