Date,Global X Silver MinersEtf_Open_average,Global X Silver MinersEtf_Open_max,Global X Silver MinersEtf_Open_min,Global X Silver MinersEtf_Open_volatility,Global X Silver MinersEtf_Open_change,Global X Silver MinersEtf_High_average,Global X Silver MinersEtf_High_max,Global X Silver MinersEtf_High_min,Global X Silver MinersEtf_High_volatility,Global X Silver MinersEtf_High_change,Global X Silver MinersEtf_Low_average,Global X Silver MinersEtf_Low_max,Global X Silver MinersEtf_Low_min,Global X Silver MinersEtf_Low_volatility,Global X Silver MinersEtf_Low_change,Global X Silver MinersEtf_Close_average,Global X Silver MinersEtf_Close_max,Global X Silver MinersEtf_Close_min,Global X Silver MinersEtf_Close_volatility,Global X Silver MinersEtf_Close_change
2018-01-14,33.15,33.15,33.15,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.86,32.86,32.86,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-01-21,33.15,33.15,33.15,0.0,0.0,33.29,33.29,33.29,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-01-28,31.73,31.73,31.73,0.0,0.0,31.73,31.73,31.73,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-02-04,29.47,29.47,29.47,0.0,0.0,29.47,29.47,29.47,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2018-02-11,31.65,31.65,31.65,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-02-18,30.35,30.35,30.35,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-02-25,29.87,29.87,29.87,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-03-04,30.24,30.24,30.24,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-03-11,29.9,29.9,29.9,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-03-18,30.76,30.76,30.76,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-03-25,30.2,30.2,30.2,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.72,30.72,30.72,0.0,0.0
