Date,iShares MSCI Sweden CappedEtf_Open_average,iShares MSCI Sweden CappedEtf_Open_max,iShares MSCI Sweden CappedEtf_Open_min,iShares MSCI Sweden CappedEtf_Open_volatility,iShares MSCI Sweden CappedEtf_Open_change,iShares MSCI Sweden CappedEtf_High_average,iShares MSCI Sweden CappedEtf_High_max,iShares MSCI Sweden CappedEtf_High_min,iShares MSCI Sweden CappedEtf_High_volatility,iShares MSCI Sweden CappedEtf_High_change,iShares MSCI Sweden CappedEtf_Low_average,iShares MSCI Sweden CappedEtf_Low_max,iShares MSCI Sweden CappedEtf_Low_min,iShares MSCI Sweden CappedEtf_Low_volatility,iShares MSCI Sweden CappedEtf_Low_change,iShares MSCI Sweden CappedEtf_Close_average,iShares MSCI Sweden CappedEtf_Close_max,iShares MSCI Sweden CappedEtf_Close_min,iShares MSCI Sweden CappedEtf_Close_volatility,iShares MSCI Sweden CappedEtf_Close_change
2018-01-14,36.16,36.16,36.16,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-01-21,36.33,36.33,36.33,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-01-28,35.94,35.94,35.94,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2018-02-04,33.4,33.4,33.4,0.0,0.0,33.56,33.56,33.56,0.0,0.0,32.44,32.44,32.44,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-02-11,34.74,34.74,34.74,0.0,0.0,35.13,35.13,35.13,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-02-18,34.47,34.47,34.47,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-02-25,33.1,33.1,33.1,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.84,32.84,32.84,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-03-04,34.31,34.31,34.31,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-03-11,34.5,34.5,34.5,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2018-03-18,33.24,33.24,33.24,0.0,0.0,33.33,33.33,33.33,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-03-25,33.48,33.48,33.48,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-04-01,32.87,32.87,32.87,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-04-08,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-04-15,34.07,34.07,34.07,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-04-22,33.29,33.29,33.29,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.46,33.46,33.46,0.0,0.0
2018-04-29,32.47,32.47,32.47,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-05-06,34.36,34.36,34.36,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-05-13,34.13,34.13,34.13,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-05-20,33.39,33.39,33.39,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-05-27,32.72,32.72,32.72,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-06-03,32.95,32.95,32.95,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-06-10,32.95,32.95,32.95,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.81,32.81,32.81,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-06-17,30.98,30.98,30.98,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-06-24,30.5,30.5,30.5,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-07-01,30.56,30.56,30.56,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-07-08,30.64,30.64,30.64,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-07-15,31.22,31.22,31.22,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-07-22,32.06,32.06,32.06,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-07-29,31.84,31.84,31.84,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-08-05,31.15,31.15,31.15,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-08-12,30.76,30.76,30.76,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.76,30.76,30.76,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-08-19,31.56,31.56,31.56,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-08-26,31.95,31.95,31.95,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-09-02,31.19,31.19,31.19,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-09-09,31.66,31.66,31.66,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-09-16,33.19,33.19,33.19,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-09-23,32.78,32.78,32.78,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-09-30,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-10-07,30.43,30.43,30.43,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-10-14,29.73,29.73,29.73,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-10-21,28.45,28.45,28.45,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2018-10-28,30.11,30.11,30.11,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2018-11-04,29.68,29.68,29.68,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-11-11,29.13,29.13,29.13,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.33,29.33,29.33,0.0,0.0
