Date,Reality Shares DIVSEtf_Open_average,Reality Shares DIVSEtf_Open_max,Reality Shares DIVSEtf_Open_min,Reality Shares DIVSEtf_Open_volatility,Reality Shares DIVSEtf_Open_change,Reality Shares DIVSEtf_High_average,Reality Shares DIVSEtf_High_max,Reality Shares DIVSEtf_High_min,Reality Shares DIVSEtf_High_volatility,Reality Shares DIVSEtf_High_change,Reality Shares DIVSEtf_Low_average,Reality Shares DIVSEtf_Low_max,Reality Shares DIVSEtf_Low_min,Reality Shares DIVSEtf_Low_volatility,Reality Shares DIVSEtf_Low_change,Reality Shares DIVSEtf_Close_average,Reality Shares DIVSEtf_Close_max,Reality Shares DIVSEtf_Close_min,Reality Shares DIVSEtf_Close_volatility,Reality Shares DIVSEtf_Close_change
2018-01-14,26.8,26.8,26.8,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-01-21,26.91,26.91,26.91,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-01-28,26.77,26.77,26.77,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-02-04,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-02-11,26.66,26.66,26.66,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-02-18,27.24,27.24,27.24,0.0,0.0,28.38,28.38,28.38,0.0,0.0,26.9,26.9,26.9,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-02-25,27.01,27.01,27.01,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.95,26.95,26.95,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-03-04,27.2,27.2,27.2,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2018-03-11,27.25,27.25,27.25,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-03-18,27.25,27.25,27.25,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2018-03-25,27.04,27.04,27.04,0.0,0.0,27.34,27.34,27.34,0.0,0.0,26.9,26.9,26.9,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-04-01,27.19,27.19,27.19,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2018-04-08,27.2,27.2,27.2,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2018-04-15,27.26,27.26,27.26,0.0,0.0,27.26,27.26,27.26,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-04-22,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.96,26.96,26.96,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2018-04-29,26.46,26.46,26.46,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-05-06,26.82,26.82,26.82,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-05-13,26.81,26.81,26.81,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0
