Symbol,Sector
^IRX,General Sector
A,Capital Goods
AA,Basic Industries
AAN,Technology
AAP,Consumer Services
AAT,Consumer Services
AB,Finance
ABB,Consumer Durables
ABBV,Health Care
ABC,Health Care
ABEV,Consumer Non-Durables
ABG,Consumer Durables
ABM,Finance
ABR,Consumer Services
ABT,Health Care
AC,Finance
ACA,Capital Goods
ACB,Consumer Durables
ACC,Consumer Services
ACCO,Consumer Durables
ACEL,Consumer Services
ACH,Basic Industries
ACM,Consumer Services
ACN,Miscellaneous
ACP,nan
ACRE,Consumer Services
ACV,nan
ADC,Consumer Services
ADM,Consumer Non-Durables
ADNT,Capital Goods
ADS,Miscellaneous
ADSW,Public Utilities
ADT,Consumer Services
ADX,nan
AEB,Finance
AEE,Public Utilities
AEFC,Finance
AEG,Finance
AEL,Finance
AEM,Basic Industries
AEO,Consumer Services
AEP,Public Utilities
AER,Technology
AES,Basic Industries
AFB,nan
AFC,nan
AFG,Finance
AFGH,Finance
AFI,Consumer Non-Durables
AFL,Finance
AFT,nan
AG,Basic Industries
AGCO,Capital Goods
AGD,nan
AGI,Basic Industries
AGM,Finance
AGN,Health Care
AGO,Finance
AGR,Public Utilities
AGRO,Consumer Non-Durables
AGS,Consumer Durables
AGX,Basic Industries
AHC,Consumer Services
AHH,Finance
AHT,Consumer Services
AI,Consumer Services
AIC,Consumer Services
AIF,nan
AIG,Finance
AIN,Basic Industries
AIO,nan
AIR,Capital Goods
AIT,Consumer Durables
AIV,Consumer Services
AIW,Consumer Services
AIZ,Finance
AIZP,Finance
AJG,Finance
AJRD,Capital Goods
AJX,Consumer Services
AJXA,Consumer Services
AKR,Consumer Services
AL,Technology
ALB,Basic Industries
ALC,Health Care
ALE,Public Utilities
ALEX,Consumer Services
ALG,Capital Goods
ALK,Transportation
ALL,Finance
ALLE,Consumer Services
ALLY,Finance
ALSN,Capital Goods
ALTG,Capital Goods
ALV,Capital Goods
ALX,Consumer Services
AM,Public Utilities
AMBC,Finance
AMC,Consumer Services
AMCR,Consumer Durables
AME,Consumer Durables
AMG,Finance
AMH,Consumer Services
AMK,Finance
AMN,Technology
AMOV,Public Utilities
AMP,Finance
AMPY,Energy
AMRC,Basic Industries
AMRX,Health Care
AMT,Consumer Services
AMX,Public Utilities
AN,Consumer Durables
ANET,Technology
ANF,Consumer Services
ANH,Consumer Services
ANTM,Health Care
AOD,nan
AON,Finance
AOS,Consumer Durables
AP,Capital Goods
APA,Energy
APAM,Finance
APD,Basic Industries
APH,Capital Goods
APHA,Consumer Durables
APLE,Consumer Services
APO,Finance
APRN,Consumer Services
APTS,Consumer Services
APTV,Capital Goods
APY,Technology
AQN,Public Utilities
AQNA,Public Utilities
AQNB,Public Utilities
AQUA,Technology
AR,Energy
ARA,Health Care
ARC,Consumer Services
ARCH,Energy
ARCO,Consumer Services
ARD,Consumer Durables
ARDC,nan
ARE,Consumer Services
ARES,Finance
ARGD,Finance
ARGO,Finance
ARI,Consumer Services
ARL,Finance
ARLO,Consumer Non-Durables
ARMK,Consumer Services
ARNC,Capital Goods
AROC,Public Utilities
ARR,Consumer Services
ARW,Technology
ASA,nan
ASB,Finance
ASC,Transportation
ASG,nan
ASGN,Technology
ASH,Consumer Durables
ASIX,Basic Industries
ASPN,Consumer Services
ASR,Transportation
ASX,Technology
AT,Energy
ATCO,Transportation
ATEN,Technology
ATGE,Consumer Services
ATH,Finance
ATHM,Technology
ATI,Basic Industries
ATKR,Miscellaneous
ATO,Public Utilities
ATR,Consumer Non-Durables
ATTO,Public Utilities
ATUS,Consumer Services
ATV,Consumer Services
AU,Basic Industries
AUY,Basic Industries
AVA,Public Utilities
AVAL,Finance
AVB,Consumer Services
AVD,Basic Industries
AVH,Transportation
AVK,nan
AVLR,Technology
AVNS,Health Care
AVTR,Capital Goods
AVX,Capital Goods
AVY,Consumer Durables
AVYA,Public Utilities
AWF,nan
AWI,Consumer Non-Durables
AWK,Public Utilities
AWP,nan
AWR,Public Utilities
AX,Finance
AXE,Consumer Non-Durables
AXL,Capital Goods
AXO,Finance
AXP,Finance
AXR,Consumer Services
AXS,Finance
AXTA,Basic Industries
AYI,Consumer Durables
AYR,Technology
AYX,Technology
AZN,Health Care
AZO,Consumer Services
AZRE,Public Utilities
AZUL,Transportation
AZZ,Consumer Durables
B,Capital Goods
BA,Capital Goods
BABA,Miscellaneous
BAC,Finance
BAF,nan
BAH,Consumer Services
BAK,Basic Industries
BAM,Consumer Services
BANC,Finance
BAP,Finance
BAX,Health Care
BB,Technology
BBAR,Finance
BBD,Finance
BBDC,nan
BBDO,Finance
BBF,nan
BBK,nan
BBL,Energy
BBN,nan
BBU,Basic Industries
BBVA,Finance
BBW,Consumer Services
BBX,Finance
BBY,Consumer Services
BC,Energy
BCC,Consumer Services
BCE,Public Utilities
BCEI,Energy
BCH,Finance
BCO,Transportation
BCRH,Finance
BCS,Finance
BCSF,nan
BCX,nan
BDC,Basic Industries
BDJ,nan
BDN,Consumer Services
BDX,Health Care
BDXA,Health Care
BE,Energy
BEDU,Consumer Services
BEN,Finance
BEP,Public Utilities
BERY,Consumer Non-Durables
BEST,Transportation
BFAM,Miscellaneous
BFK,nan
BFO,nan
BFS,Consumer Services
BFY,nan
BFZ,nan
BG,Consumer Non-Durables
BGB,nan
BGG,Energy
BGH,nan
BGIO,nan
BGR,nan
BGS,Consumer Non-Durables
BGSF,Technology
BGT,nan
BGX,nan
BGY,nan
BH,Consumer Services
BHC,Health Care
BHE,Technology
BHK,nan
BHLB,Finance
BHP,Basic Industries
BHR,Consumer Services
BHV,nan
BHVN,Health Care
BIF,nan
BIG,Consumer Services
BILL,Technology
BIO,Capital Goods
BIP,Consumer Services
BIT,nan
BITA,Technology
BJ,Consumer Services
BK,Finance
BKD,Health Care
BKE,Consumer Services
BKH,Public Utilities
BKI,Technology
BKK,nan
BKN,nan
BKR,Energy
BKT,nan
BKU,Finance
BLD,Basic Industries
BLE,nan
BLK,Finance
BLL,Consumer Durables
BLW,Finance
BLX,Finance
BMA,Finance
BME,nan
BMI,Capital Goods
BMO,Finance
BMY,Health Care
BNED,Consumer Services
BNS,Finance
BNY,nan
BOE,nan
BOH,Finance
BOOT,Consumer Services
BORR,Energy
BOX,Technology
BP,Energy
BPMP,Energy
BPT,Energy
BQH,nan
BR,Miscellaneous
BRBR,Consumer Non-Durables
BRC,Consumer Durables
BRFS,Consumer Non-Durables
BRMK,Consumer Services
BRO,Finance
BRT,Consumer Services
BRX,Consumer Services
BSA,Finance
BSAC,Finance
BSBR,Finance
BSD,nan
BSE,nan
BSIG,Finance
BSL,nan
BSM,Energy
BSMX,Finance
BST,nan
BSTZ,nan
BSX,Health Care
BTA,nan
BTE,Energy
BTI,Consumer Non-Durables
BTO,nan
BTT,nan
BTU,Energy
BTZ,nan
BUD,Consumer Non-Durables
BUI,nan
BURL,Consumer Services
BV,Consumer Non-Durables
BVN,Basic Industries
BW,Capital Goods
BWA,Capital Goods
BWG,nan
BWXT,Energy
BX,Finance
BXC,Capital Goods
BXG,Finance
BXMT,Consumer Services
BXMX,nan
BXP,Consumer Services
BXS,nan
BY,Finance
BYD,Consumer Services
BYM,nan
BZH,Capital Goods
BZM,nan
C,Finance
CAAP,Transportation
CABO,Consumer Services
CACI,Technology
CADE,Finance
CAE,Miscellaneous
CAF,nan
CAG,Consumer Non-Durables
CAH,Health Care
CAI,Technology
CAJ,Miscellaneous
CAL,Consumer Non-Durables
CALX,Consumer Services
CANG,Technology
CAPL,Energy
CARS,Technology
CAT,Capital Goods
CATO,Consumer Services
CB,Finance
CBB,Public Utilities
CBD,Consumer Services
CBH,nan
CBL,Consumer Services
CBRE,Finance
CBT,Basic Industries
CBU,Finance
CBZ,Miscellaneous
CC,Basic Industries
CCC,Technology
CCEP,Consumer Non-Durables
CCH,Finance
CCI,Consumer Services
CCJ,Basic Industries
CCK,Consumer Durables
CCL,Consumer Services
CCM,Health Care
CCO,Consumer Services
CCR,Energy
CCS,Capital Goods
CCU,Consumer Non-Durables
CCX,Finance
CCZ,Consumer Services
CDAY,Technology
CDE,Basic Industries
CDR,Consumer Services
CE,Basic Industries
CEA,Transportation
CEE,nan
CEIX,Energy
CEL,Public Utilities
CELP,Miscellaneous
CEM,nan
CEN,nan
CEO,Energy
CEPU,Public Utilities
CEQP,Consumer Services
CF,Basic Industries
CFG,Finance
CFR,Finance
CFX,Capital Goods
CFXA,Capital Goods
CGA,Basic Industries
CGC,Consumer Durables
CHA,Public Utilities
CHAP,Energy
CHCT,Consumer Services
CHD,Basic Industries
CHE,Health Care
CHGG,Consumer Services
CHH,Consumer Services
CHK,Energy
CHL,Public Utilities
CHMI,Consumer Services
CHN,nan
CHRA,Basic Industries
CHS,Consumer Services
CHT,Public Utilities
CHU,Public Utilities
CHWY,Consumer Services
CI,Health Care
CIA,Finance
CIB,Finance
CIEN,Public Utilities
CIF,nan
CIG,Public Utilities
CII,nan
CIM,Consumer Services
CINR,Basic Industries
CIO,Consumer Services
CIR,Capital Goods
CIT,Finance
CKH,Transportation
CL,Consumer Non-Durables
CLB,Energy
CLDR,Technology
CLDT,Consumer Services
CLF,Basic Industries
CLGX,Technology
CLH,Basic Industries
CLI,Consumer Services
CLNC,Consumer Services
CLNY,Consumer Services
CLPR,Consumer Services
CLR,Energy
CLS,Technology
CLW,Basic Industries
CLX,Consumer Durables
CM,Finance
CMA,Finance
CMC,Basic Industries
CMCM,Technology
CMD,Health Care
CMG,Consumer Services
CMI,Energy
CMO,Consumer Services
CMP,Basic Industries
CMRE,Transportation
CMS,Public Utilities
CMSA,Public Utilities
CMSC,Public Utilities
CMSD,Public Utilities
CMU,nan
CNA,Finance
CNC,Health Care
CNF,Finance
CNHI,Capital Goods
CNI,Transportation
CNK,Consumer Services
CNMD,Health Care
CNNE,Consumer Services
CNO,Finance
CNP,Public Utilities
CNQ,Energy
CNR,Capital Goods
CNS,Finance
CNX,Energy
CNXM,Public Utilities
CO,Finance
CODI,Consumer Durables
COE,Consumer Services
COF,Finance
COG,Energy
COLD,Consumer Services
COO,Health Care
COP,Energy
COR,Consumer Services
CORR,Consumer Services
COTY,Consumer Non-Durables
CP,Transportation
CPA,Transportation
CPAC,Capital Goods
CPB,Consumer Non-Durables
CPE,Energy
CPF,Finance
CPG,Energy
CPK,Public Utilities
CPLG,Consumer Services
CPRI,Consumer Non-Durables
CPS,Capital Goods
CPT,Consumer Services
CR,Capital Goods
CRC,Energy
CRH,Capital Goods
CRI,Consumer Non-Durables
CRK,Energy
CRL,Health Care
CRM,Technology
CRS,Basic Industries
CRT,Energy
CRY,Health Care
CS,Finance
CSL,Basic Industries
CSLT,Technology
CSTM,Basic Industries
CSU,Health Care
CSV,Consumer Services
CTAA,Public Utilities
CTB,Consumer Durables
CTBB,Public Utilities
CTDD,Public Utilities
CTK,Technology
CTL,Public Utilities
CTLT,Health Care
CTR,nan
CTRA,Energy
CTS,Technology
CTST,Consumer Durables
CTT           ,Consumer Services
CTV,Public Utilities
CTVA,Consumer Non-Durables
CTY,Public Utilities
CTZ,Public Utilities
CUB,Capital Goods
CUBB,Finance
CUBE,Consumer Services
CUBI,Finance
CUK,Consumer Services
CULP,Basic Industries
CURO,Finance
CUZ,Consumer Services
CVA,Basic Industries
CVE,Energy
CVEO,Consumer Services
CVI,Energy
CVIA,Basic Industries
CVNA,Consumer Durables
CVS,Health Care
CVX,Energy
CW,Technology
CWEN,Public Utilities
CWH,Consumer Durables
CWK,Finance
CWT,Public Utilities
CX,Capital Goods
CXE,nan
CXH,nan
CXO,Energy
CXP,Consumer Services
CXW,Consumer Services
CYD,Energy
CYH,Health Care
CZZ,Consumer Non-Durables
D,Public Utilities
DAC,Transportation
DAL,Transportation
DAN,Capital Goods
DAO,Consumer Services
DAR,Consumer Non-Durables
DAVA,Technology
DB,Finance
DBD,Miscellaneous
DBI,Consumer Services
DBL,nan
DCF,nan
DCI,Capital Goods
DCO,Capital Goods
DCP,Public Utilities
DCUE,Public Utilities
DD,Basic Industries
DDD,Technology
DDF,nan
DDS,Consumer Services
DDT,Consumer Services
DE,Capital Goods
DEA,Consumer Services
DECK,Consumer Non-Durables
DEI,Consumer Services
DELL,Technology
DEO,Consumer Non-Durables
DESP,Consumer Services
DEX,nan
DFIN,Consumer Services
DFP,nan
DFS,Finance
DG,Consumer Services
DGX,Health Care
DHF,nan
DHI,Capital Goods
DHR,Capital Goods
DHT,Transportation
DHX,Miscellaneous
DIAX,nan
DIN,Consumer Services
DIS,Consumer Services
DK,Energy
DKL,Energy
DKS,Consumer Services
DL,Consumer Services
DLB,Miscellaneous
DLNG,Consumer Services
DLPH,Capital Goods
DLR,Consumer Services
DLX,Consumer Durables
DLY,nan
DMB,nan
DMO,nan
DNI,nan
DNK,Consumer Services
DNOW,Energy
DNP,nan
DNR,Energy
DO,Energy
DOC,Consumer Services
DOOR,Basic Industries
DOV,Technology
DOW,Basic Industries
DPG,nan
DPZ,Consumer Non-Durables
DQ,Technology
DRD,Basic Industries
DRE,Consumer Services
DRH,Consumer Services
DRI,Consumer Services
DRQ,Energy
DRUA,Public Utilities
DS,Consumer Services
DSE,nan
DSL,nan
DSM,nan
DSSI,Consumer Services
DSU,nan
DSX,Transportation
DT,Technology
DTE,Public Utilities
DTF,nan
DTJ,Public Utilities
DTP,Public Utilities
DTQ,Public Utilities
DTW,Public Utilities
DTY,Public Utilities
DUC,nan
DUK,Public Utilities
DUKB,Public Utilities
DUKH,Public Utilities
DVA,Health Care
DVD,Consumer Services
DVN,Energy
DX,Consumer Services
DX-Y.NYB,General Sector
DXB,Finance
DXC,Technology
DY,Basic Industries
E,Energy
EAB,Public Utilities
EAE,Public Utilities
EAF,Energy
EAI,Public Utilities
EARN,Consumer Services
EAT,Consumer Services
EB,Technology
EBF,Consumer Services
EBR,Public Utilities
EBS,Health Care
EC,Energy
ECC           ,nan
ECCB,nan
ECCX,nan
ECCY,nan
ECL,Basic Industries
ECOM          ,Technology
ECT,Energy
ED,Public Utilities
EDD,nan
EDF,nan
EDI,nan
EDN,Public Utilities
EDU,Consumer Services
EE,Public Utilities
EEA,nan
EEX,Miscellaneous
EFC,Finance
EFF,nan
EFL,nan
EFR,nan
EFT,nan
EFX,Finance
EGF,nan
EGHT,Technology
EGIF,nan
EGO,Basic Industries
EGP,Consumer Services
EGY,Energy
EHC,Health Care
EHI,nan
EHT,nan
EIC,nan
EIG,Finance
EIX,Public Utilities
EL,Consumer Non-Durables
ELAN,Health Care
ELC,Public Utilities
ELF,Consumer Non-Durables
ELJ,Public Utilities
ELP,Public Utilities
ELS,Consumer Services
ELU,Public Utilities
ELVT,Finance
ELY,Consumer Non-Durables
EMD,nan
EME,Capital Goods
EMF,nan
EMN,Basic Industries
EMO,nan
EMP,Public Utilities
EMR,Energy
ENB,Energy
ENBA,Energy
ENBL,Public Utilities
ENIA,Public Utilities
ENIC,Public Utilities
ENJ,Public Utilities
ENLC,Public Utilities
ENO,Public Utilities
ENR,Miscellaneous
ENS,Consumer Non-Durables
ENV,Miscellaneous
ENVA,Finance
ENZ,Health Care
EOD,nan
EOG,Energy
EOI,nan
EOS,nan
EOT,nan
EPAC,Technology
EPAM,Technology
EPC,Consumer Non-Durables
EPD,Public Utilities
EPR,Consumer Services
EPRT,Consumer Services
EQC,Consumer Services
EQH,Finance
EQM,Public Utilities
EQNR,Energy
EQR,Consumer Services
EQS,nan
EQT,Energy
ERA,Transportation
ERF,Energy
ERJ,Capital Goods
EROS,Consumer Services
ES,Public Utilities
ESE,Capital Goods
ESI,Basic Industries
ESNT,Finance
ESRT,Consumer Services
ESS,Consumer Services
ESTC,Technology
ESTE,Energy
ET,Public Utilities
ETB,nan
ETG,nan
ETH,Consumer Durables
ETJ,nan
ETM,Consumer Services
ETN,Technology
ETO,nan
ETR,Public Utilities
ETRN,Public Utilities
ETV,nan
ETW,nan
ETX           ,nan
ETY,nan
EURN,Transportation
EV,Finance
EVA,Basic Industries
EVC,Consumer Services
EVF,nan
EVG,nan
EVH,Consumer Services
EVN,nan
EVR,Finance
EVRG,Public Utilities
EVRI,Consumer Services
EVT,nan
EVTC,Technology
EW,Health Care
EXD,nan
EXG,nan
EXK,Basic Industries
EXP,Capital Goods
EXPR,Consumer Services
EXR,Consumer Services
EXTN,Technology
EZT,Public Utilities
F,Capital Goods
FAF,Finance
FAM,nan
FBC,Finance
FBHS,Basic Industries
FBK,Finance
FBM,Consumer Services
FBP,Finance
FC,Consumer Services
FCAU,Capital Goods
FCF,Finance
FCN,Consumer Services
FCPT,Consumer Services
FCT,nan
FCX,Basic Industries
FDEU,nan
FDP,Consumer Non-Durables
FDS,Technology
FDX,Transportation
FE,Public Utilities
FEDU,Consumer Services
FEI           ,nan
FENG,Consumer Services
FEO,nan
FET,Energy
FF,Basic Industries
FFA,nan
FFC,nan
FFG,Finance
FG,Finance
FGB,nan
FHI,Finance
FHN,Finance
FI,Energy
FICO,Miscellaneous
FIF,nan
FINS,nan
FINV,Finance
FIS,Miscellaneous
FIT,Technology
FIV,nan
FIX,Capital Goods
FL,Consumer Services
FLC,nan
FLNG,Consumer Services
FLO,Consumer Non-Durables
FLOW,Technology
FLR,Basic Industries
FLS,Capital Goods
FLT,Miscellaneous
FLY,nan
FMC,Basic Industries
FMN,nan
FMO,nan
FMS,Health Care
FMX,Consumer Non-Durables
FMY,nan
FN,Public Utilities
FNB,Finance
FND,Consumer Services
FNF,Finance
FNV,Basic Industries
FOE,Basic Industries
FOF,nan
FOR,Finance
FPAC,Technology
FPF,nan
FPH,Finance
FPI,Consumer Services
FPL,nan
FR,Consumer Services
FRA,nan
FRC,nan
FRO,Transportation
FRT,Consumer Services
FSB,Finance
FSD,nan
FSK,nan
FSLY,Technology
FSM,Basic Industries
FSS,Capital Goods
FT,nan
FTAI,nan
FTCH,Miscellaneous
FTI,Energy
FTK,Basic Industries
FTS,Public Utilities
FTSI,Energy
FTV,Capital Goods
FUL,Basic Industries
FUN,Consumer Services
FVRR,Miscellaneous
G,Consumer Services
GAB,nan
GAM,nan
GATX,Consumer Services
GBAB,nan
GBL,Finance
GBX,Capital Goods
GCAP,Finance
GCI,Consumer Services
GCO,Consumer Services
GCP,Basic Industries
GCV,nan
GD,Capital Goods
GDDY,Technology
GDL,nan
GDO,nan
GDOT,Finance
GDV,nan
GE,Energy
GEF,nan
GEL,Energy
GEN           ,Health Care
GEO,Consumer Services
GER,nan
GES,Consumer Non-Durables
GF,nan
GFF,Capital Goods
GFI,Basic Industries
GFL,Public Utilities
GFY,nan
GGB,Capital Goods
GGG,Capital Goods
GGM,nan
GGT,nan
GGZ,nan
GHC,Consumer Services
GHG,Consumer Services
GHL,Finance
GHM,Technology
GHY,nan
GIB,Consumer Services
GIL,Consumer Non-Durables
GIM,nan
GIS,Consumer Non-Durables
GIX,Finance
GJH,Finance
GJO,Finance
GJP,nan
GJR,nan
GJS,Finance
GJT,Finance
GKOS,Health Care
GL,Finance
GLD,Basic Industries
GLEO,Finance
GLOB,Technology
GLOG,Consumer Services
GLOP,Consumer Services
GLP,Energy
GLT,Basic Industries
GLW,Basic Industries
