Date,Schwab Emerging Markets EquityEtf_Open_average,Schwab Emerging Markets EquityEtf_Open_max,Schwab Emerging Markets EquityEtf_Open_min,Schwab Emerging Markets EquityEtf_Open_volatility,Schwab Emerging Markets EquityEtf_Open_change,Schwab Emerging Markets EquityEtf_High_average,Schwab Emerging Markets EquityEtf_High_max,Schwab Emerging Markets EquityEtf_High_min,Schwab Emerging Markets EquityEtf_High_volatility,Schwab Emerging Markets EquityEtf_High_change,Schwab Emerging Markets EquityEtf_Low_average,Schwab Emerging Markets EquityEtf_Low_max,Schwab Emerging Markets EquityEtf_Low_min,Schwab Emerging Markets EquityEtf_Low_volatility,Schwab Emerging Markets EquityEtf_Low_change,Schwab Emerging Markets EquityEtf_Close_average,Schwab Emerging Markets EquityEtf_Close_max,Schwab Emerging Markets EquityEtf_Close_min,Schwab Emerging Markets EquityEtf_Close_volatility,Schwab Emerging Markets EquityEtf_Close_change
2016-01-03,18.25,18.25,18.25,0.0,0.0,18.28,18.28,18.28,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.93,17.93,17.93,0.0,0.0
2016-01-10,17.26,17.26,17.26,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2016-01-17,17.58,17.58,17.58,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.64,17.64,17.64,0.0,0.0
2016-01-24,18.18,18.18,18.18,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.45,18.45,18.45,0.0,0.0
2016-01-31,18.34,18.34,18.34,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-02-07,17.62,17.62,17.62,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.79,17.79,17.79,0.0,0.0
2016-02-14,18.36,18.36,18.36,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2016-02-21,18.54,18.54,18.54,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2016-02-28,19.79,19.79,19.79,0.0,0.0,20.14,20.14,20.14,0.0,0.0,19.76,19.76,19.76,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2016-03-06,20.01,20.01,20.01,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.01,20.01,20.01,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2016-03-13,20.69,20.69,20.69,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.66,20.66,20.66,0.0,0.0
2016-03-20,20.15,20.15,20.15,0.0,0.0,20.31,20.31,20.31,0.0,0.0,20.07,20.07,20.07,0.0,0.0,20.31,20.31,20.31,0.0,0.0
2016-03-27,20.44,20.44,20.44,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.38,20.38,20.38,0.0,0.0,20.82,20.82,20.82,0.0,0.0
2016-04-03,20.41,20.41,20.41,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.35,20.35,20.35,0.0,0.0
2016-04-10,21.2,21.2,21.2,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2016-04-17,21.05,21.05,21.05,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2016-04-24,21.01,21.01,21.01,0.0,0.0,21.08,21.08,21.08,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.99,20.99,20.99,0.0,0.0
2016-05-01,20.0,20.0,20.0,0.0,0.0,20.15,20.15,20.15,0.0,0.0,19.97,19.97,19.97,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2016-05-08,20.0,20.0,20.0,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2016-05-15,19.76,19.76,19.76,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2016-05-22,20.32,20.32,20.32,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.22,20.22,20.22,0.0,0.0
