Date,SPDR S&P RetailEtf_Open_average,SPDR S&P RetailEtf_Open_max,SPDR S&P RetailEtf_Open_min,SPDR S&P RetailEtf_Open_volatility,SPDR S&P RetailEtf_Open_change,SPDR S&P RetailEtf_High_average,SPDR S&P RetailEtf_High_max,SPDR S&P RetailEtf_High_min,SPDR S&P RetailEtf_High_volatility,SPDR S&P RetailEtf_High_change,SPDR S&P RetailEtf_Low_average,SPDR S&P RetailEtf_Low_max,SPDR S&P RetailEtf_Low_min,SPDR S&P RetailEtf_Low_volatility,SPDR S&P RetailEtf_Low_change,SPDR S&P RetailEtf_Close_average,SPDR S&P RetailEtf_Close_max,SPDR S&P RetailEtf_Close_min,SPDR S&P RetailEtf_Close_volatility,SPDR S&P RetailEtf_Close_change
2016-01-03,42.09,42.09,42.09,0.0,0.0,42.36,42.36,42.36,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2016-01-10,39.3,39.3,39.3,0.0,0.0,39.68,39.68,39.68,0.0,0.0,38.65,38.65,38.65,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2016-01-17,40.32,40.32,40.32,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2016-01-24,40.0,40.0,40.0,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.0,40.0,40.0,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-01-31,39.98,39.98,39.98,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2016-02-07,38.74,38.74,38.74,0.0,0.0,39.34,39.34,39.34,0.0,0.0,38.52,38.52,38.52,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-02-14,41.15,41.15,41.15,0.0,0.0,41.49,41.49,41.49,0.0,0.0,40.71,40.71,40.71,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2016-02-21,43.46,43.46,43.46,0.0,0.0,43.5,43.5,43.5,0.0,0.0,42.97,42.97,42.97,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2016-02-28,44.61,44.61,44.61,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2016-03-06,45.3,45.3,45.3,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2016-03-13,45.66,45.66,45.66,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.98,45.98,45.98,0.0,0.0
2016-03-20,44.74,44.74,44.74,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.65,44.65,44.65,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2016-03-27,46.01,46.01,46.01,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.64,45.64,45.64,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-04-03,44.23,44.23,44.23,0.0,0.0,44.63,44.63,44.63,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2016-04-10,44.88,44.88,44.88,0.0,0.0,45.36,45.36,45.36,0.0,0.0,44.79,44.79,44.79,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2016-04-17,44.94,44.94,44.94,0.0,0.0,45.32,45.32,45.32,0.0,0.0,44.94,44.94,44.94,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2016-04-24,44.81,44.81,44.81,0.0,0.0,45.03,45.03,45.03,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2016-05-01,42.74,42.74,42.74,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.37,42.37,42.37,0.0,0.0,43.03,43.03,43.03,0.0,0.0
