Date,iShares MSCI Netherlands_etf_Open_average,iShares MSCI Netherlands_etf_Open_max,iShares MSCI Netherlands_etf_Open_min,iShares MSCI Netherlands_etf_Open_volatility,iShares MSCI Netherlands_etf_Open_change,iShares MSCI Netherlands_etf_High_average,iShares MSCI Netherlands_etf_High_max,iShares MSCI Netherlands_etf_High_min,iShares MSCI Netherlands_etf_High_volatility,iShares MSCI Netherlands_etf_High_change,iShares MSCI Netherlands_etf_Low_average,iShares MSCI Netherlands_etf_Low_max,iShares MSCI Netherlands_etf_Low_min,iShares MSCI Netherlands_etf_Low_volatility,iShares MSCI Netherlands_etf_Low_change,iShares MSCI Netherlands_etf_Close_average,iShares MSCI Netherlands_etf_Close_max,iShares MSCI Netherlands_etf_Close_min,iShares MSCI Netherlands_etf_Close_volatility,iShares MSCI Netherlands_etf_Close_change
2016-01-03,22.72,22.72,22.72,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.39,22.39,22.39,0.0,0.0
2016-01-10,22.05,22.05,22.05,0.0,0.0,22.22,22.22,22.22,0.0,0.0,21.95,21.95,21.95,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2016-01-17,22.79,22.79,22.79,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2016-01-24,22.94,22.94,22.94,0.0,0.0,23.41,23.41,23.41,0.0,0.0,22.94,22.94,22.94,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2016-01-31,23.09,23.09,23.09,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.82,22.82,22.82,0.0,0.0
2016-02-07,21.49,21.49,21.49,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.72,21.72,21.72,0.0,0.0
2016-02-14,22.37,22.37,22.37,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2016-02-21,22.89,22.89,22.89,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.73,22.73,22.73,0.0,0.0
2016-02-28,23.71,23.71,23.71,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2016-03-06,24.2,24.2,24.2,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.31,24.31,24.31,0.0,0.0
