Date,IQ Hedge Macro Tracker_etf_Open_average,IQ Hedge Macro Tracker_etf_Open_max,IQ Hedge Macro Tracker_etf_Open_min,IQ Hedge Macro Tracker_etf_Open_volatility,IQ Hedge Macro Tracker_etf_Open_change,IQ Hedge Macro Tracker_etf_High_average,IQ Hedge Macro Tracker_etf_High_max,IQ Hedge Macro Tracker_etf_High_min,IQ Hedge Macro Tracker_etf_High_volatility,IQ Hedge Macro Tracker_etf_High_change,IQ Hedge Macro Tracker_etf_Low_average,IQ Hedge Macro Tracker_etf_Low_max,IQ Hedge Macro Tracker_etf_Low_min,IQ Hedge Macro Tracker_etf_Low_volatility,IQ Hedge Macro Tracker_etf_Low_change,IQ Hedge Macro Tracker_etf_Close_average,IQ Hedge Macro Tracker_etf_Close_max,IQ Hedge Macro Tracker_etf_Close_min,IQ Hedge Macro Tracker_etf_Close_volatility,IQ Hedge Macro Tracker_etf_Close_change
2016-01-03,24.02,24.02,24.02,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2016-01-10,23.92,23.92,23.92,0.0,0.0,24.01,24.01,24.01,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2016-01-17,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2016-01-24,24.12,24.12,24.12,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2016-01-31,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0
2016-02-07,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2016-02-14,23.96,23.96,23.96,0.0,0.0,24.04,24.04,24.04,0.0,0.0,23.96,23.96,23.96,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2016-02-21,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2016-02-28,24.22,24.22,24.22,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2016-03-06,24.32,24.32,24.32,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.35,24.35,24.35,0.0,0.0
