Date,SPDR Barclays Emerging Markets Local BondEtf_Open_average,SPDR Barclays Emerging Markets Local BondEtf_Open_max,SPDR Barclays Emerging Markets Local BondEtf_Open_min,SPDR Barclays Emerging Markets Local BondEtf_Open_volatility,SPDR Barclays Emerging Markets Local BondEtf_Open_change,SPDR Barclays Emerging Markets Local BondEtf_High_average,SPDR Barclays Emerging Markets Local BondEtf_High_max,SPDR Barclays Emerging Markets Local BondEtf_High_min,SPDR Barclays Emerging Markets Local BondEtf_High_volatility,SPDR Barclays Emerging Markets Local BondEtf_High_change,SPDR Barclays Emerging Markets Local BondEtf_Low_average,SPDR Barclays Emerging Markets Local BondEtf_Low_max,SPDR Barclays Emerging Markets Local BondEtf_Low_min,SPDR Barclays Emerging Markets Local BondEtf_Low_volatility,SPDR Barclays Emerging Markets Local BondEtf_Low_change,SPDR Barclays Emerging Markets Local BondEtf_Close_average,SPDR Barclays Emerging Markets Local BondEtf_Close_max,SPDR Barclays Emerging Markets Local BondEtf_Close_min,SPDR Barclays Emerging Markets Local BondEtf_Close_volatility,SPDR Barclays Emerging Markets Local BondEtf_Close_change
2016-01-03,24.21,24.21,24.21,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2016-01-10,24.0,24.0,24.0,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2016-01-17,23.86,23.86,23.86,0.0,0.0,24.26,24.26,24.26,0.0,0.0,23.86,23.86,23.86,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2016-01-24,24.44,24.44,24.44,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2016-01-31,24.71,24.71,24.71,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2016-02-07,24.97,24.97,24.97,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2016-02-14,24.89,24.89,24.89,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2016-02-21,24.9,24.9,24.9,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2016-02-28,25.46,25.46,25.46,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2016-03-06,26.02,26.02,26.02,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2016-03-13,26.63,26.63,26.63,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2016-03-20,26.22,26.22,26.22,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2016-03-27,26.89,26.89,26.89,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.88,26.88,26.88,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2016-04-03,26.73,26.73,26.73,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2016-04-10,27.11,27.11,27.11,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2016-04-17,27.37,27.37,27.37,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2016-04-24,27.74,27.74,27.74,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2016-05-01,27.16,27.16,27.16,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.02,27.02,27.02,0.0,0.0,27.22,27.22,27.22,0.0,0.0
2016-05-08,27.07,27.07,27.07,0.0,0.0,27.07,27.07,27.07,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2016-05-15,26.46,26.46,26.46,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2016-05-22,26.55,26.55,26.55,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2016-05-29,26.71,26.71,26.71,0.0,0.0,26.96,26.96,26.96,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2016-06-05,27.16,27.16,27.16,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2016-06-12,26.89,26.89,26.89,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.89,26.89,26.89,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2016-06-19,26.97,26.97,26.97,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2016-06-26,27.67,27.67,27.67,0.0,0.0,31.51,31.51,31.51,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2016-07-03,27.61,27.61,27.61,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.86,27.86,27.86,0.0,0.0
