Date,First Trust Mid Cap Value AlphaDEX_etf_Open_average,First Trust Mid Cap Value AlphaDEX_etf_Open_max,First Trust Mid Cap Value AlphaDEX_etf_Open_min,First Trust Mid Cap Value AlphaDEX_etf_Open_volatility,First Trust Mid Cap Value AlphaDEX_etf_Open_change,First Trust Mid Cap Value AlphaDEX_etf_High_average,First Trust Mid Cap Value AlphaDEX_etf_High_max,First Trust Mid Cap Value AlphaDEX_etf_High_min,First Trust Mid Cap Value AlphaDEX_etf_High_volatility,First Trust Mid Cap Value AlphaDEX_etf_High_change,First Trust Mid Cap Value AlphaDEX_etf_Low_average,First Trust Mid Cap Value AlphaDEX_etf_Low_max,First Trust Mid Cap Value AlphaDEX_etf_Low_min,First Trust Mid Cap Value AlphaDEX_etf_Low_volatility,First Trust Mid Cap Value AlphaDEX_etf_Low_change,First Trust Mid Cap Value AlphaDEX_etf_Close_average,First Trust Mid Cap Value AlphaDEX_etf_Close_max,First Trust Mid Cap Value AlphaDEX_etf_Close_min,First Trust Mid Cap Value AlphaDEX_etf_Close_volatility,First Trust Mid Cap Value AlphaDEX_etf_Close_change
2016-01-03,24.86,24.86,24.86,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2016-01-10,23.51,23.51,23.51,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2016-01-17,23.95,23.95,23.95,0.0,0.0,24.06,24.06,24.06,0.0,0.0,23.85,23.85,23.85,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2016-01-24,24.52,24.52,24.52,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2016-01-31,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2016-02-07,23.66,23.66,23.66,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2016-02-14,24.52,24.52,24.52,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2016-02-21,25.3,25.3,25.3,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2016-02-28,26.82,26.82,26.82,0.0,0.0,27.29,27.29,27.29,0.0,0.0,26.82,26.82,26.82,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-03-06,27.4,27.4,27.4,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2016-03-13,28.11,28.11,28.11,0.0,0.0,28.32,28.32,28.32,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2016-03-20,27.23,27.23,27.23,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2016-03-27,27.97,27.97,27.97,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.75,27.75,27.75,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2016-04-03,27.27,27.27,27.27,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2016-04-10,28.25,28.25,28.25,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2016-04-17,28.85,28.85,28.85,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2016-04-24,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2016-05-01,27.77,27.77,27.77,0.0,0.0,28.04,28.04,28.04,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2016-05-08,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2016-05-15,27.67,27.67,27.67,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2016-05-22,28.72,28.72,28.72,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2016-05-29,28.76,28.76,28.76,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2016-06-05,28.8,28.8,28.8,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2016-06-12,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2016-06-19,27.69,27.69,27.69,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2016-06-26,27.79,27.79,27.79,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.79,27.79,27.79,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2016-07-03,28.16,28.16,28.16,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2016-07-10,29.26,29.26,29.26,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2016-07-17,29.49,29.49,29.49,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2016-07-24,29.37,29.37,29.37,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.49,29.49,29.49,0.0,0.0
